step,time,a,epsilon_mean,residue_mean
0,0.0,0.8,0.09947926006572153,5.968905809972875e-05
100,0.1,0.7969998499924996,0.09931209281775497,0.0057879495219406935
200,0.2,0.7939996999849993,0.09928743683711636,0.011070264292227735
300,0.3,0.7909995499774989,0.09937625575206632,0.01594828853868093
400,0.4,0.7879993999699986,0.09955409627626849,0.020458935861070844
500,0.5,0.7849992499624981,0.09980025952379773,0.024634982205550163
600,0.6,0.7819990999549978,0.10009717628750175,0.028505581786065888
700,0.7000000000000001,0.7789989499474974,0.10042992520574093,0.03209671166183558
800,0.8,0.7759987999399971,0.10078585230461795,0.03543155742396821
900,0.9,0.7729986499324967,0.1011542633452331,0.03853084949125457
1000,1.0,0.7699984999249962,0.10152616915550791,0.04141315740560686
1100,1.1,0.7669983499174959,0.10189407014640114,0.044095147990655795
1200,1.2,0.7639981999099955,0.1022517704071669,0.046591812118535816
1300,1.3,0.7609980499024952,0.10259421471754535,0.04891666400100359
1400,1.4000000000000001,0.7579978998949948,0.10291734388100152,0.05108191629884769
1500,1.5,0.7549977498874945,0.1032179652243102,0.053098633869321885
1600,1.6,0.751997599879994,0.10349363609980516,0.05497686860298706
1700,1.7,0.7489974498724936,0.1037425588925063,0.05672577750858008
1800,1.8,0.7459972998649933,0.10396348646676701,0.05835372596555587
1900,1.9000000000000001,0.7429971498574929,0.10415563725439611,0.059868377863241076
2000,2.0,0.7399969998499926,0.10431861933977603,0.061276774172181116
2100,2.1,0.7369968498424921,0.10445236297582333,0.06258540133976251
2200,2.2,0.7339966998349918,0.10455706099622109,0.06380025076354702
2300,2.3000000000000003,0.7309965498274914,0.10463311659479957,0.06492687046875517
2400,2.4,0.727996399819991,0.1046810979366355,0.06597040999902423
2500,2.5,0.7249962498124907,0.10470169905691806,0.06693565942081113
2600,2.6,0.7219960998049902,0.10469570649872394,0.06782708324101394
2700,2.7,0.7189959497974899,0.10466397114266118,0.06864884994424329
2800,2.8000000000000003,0.7159957997899895,0.10460738469104591,0.06940485777052674
2900,2.9,0.7129956497824892,0.10452686028673372,0.07009875727595721
3000,3.0,0.7099954997749888,0.10442331677101163,0.07073397114775362
3100,3.1,0.7069953497674883,0.10429766611470512,0.07131371168118929
3200,3.2,0.703995199759988,0.10415080359036044,0.07184099626859364
3300,3.3000000000000003,0.7009950497524876,0.10398360028953499,0.0723186611998071
3400,3.4,0.6979948997449873,0.10379689762651759,0.0727493740286778
3500,3.5,0.6949947497374869,0.10359150350705519,0.07313564472099932
3600,3.6,0.6919945997299866,0.10336818987695354,0.07347983576523509
3700,3.7,0.6889944497224861,0.1031276914000405,0.07378417139799257
3800,3.8000000000000003,0.6859942997149858,0.10287070504742701,0.07405074607102041
3900,3.9,0.6829941497074854,0.10259789040995128,0.07428153226505288
4000,4.0,0.6799939996999851,0.10230987057297056,0.07447838773767478
4100,4.1,0.6769938496924847,0.10200723341721901,0.07464306227712218
4200,4.2,0.6739936996849842,0.10169053323131719,0.07477720402118682
4300,4.3,0.6709935496774839,0.10136029254080337,0.07488236538981108
4400,4.4,0.6679933996699835,0.10101700407541486,0.0749600086712357
4500,4.5,0.6649932496624832,0.1006611328109561,0.07501151129441394
4600,4.6000000000000005,0.6619930996549828,0.10029311803465199,0.0750381708145903
4700,4.7,0.6589929496474825,0.09991337539359899,0.0750412096342439
4800,4.8,0.655992799639982,0.0995222988949963,0.07502177947782943
4900,4.9,0.6529926496324816,0.09912026283445585,0.0749809656357507
5000,5.0,0.6499924996249813,0.09870762363503535,0.07491979099063739
5100,5.1000000000000005,0.6469923496174809,0.09828472158487839,0.07483921983714531
5200,5.2,0.6439921996099806,0.09785188246563446,0.07474016150506724
5300,5.3,0.6409920496024801,0.09740941906730408,0.07462347379444062
5400,5.4,0.6379918995949798,0.09695763258793244,0.07448996623050355
5500,5.5,0.6349917495874794,0.09649681391876805,0.07434040314572085
5600,5.6000000000000005,0.631991599579979,0.09602724481720196,0.07417550659563368
5700,5.7,0.6289914495724787,0.09554919897109279,0.07399595911493995
5800,5.8,0.6259912995649782,0.09506294295903173,0.07380240631995576
5900,5.9,0.6229911495574779,0.09456873711177022,0.07359545936341977
