turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
16,9906,0.9906,-8.758219124977049e-06,0.002430950417549147,3.041866497749569e-05,0.002099507149673582,-2.7379675371488976e-05,0.010495323248217307,-2.4472071515353466e-05,0.001005379112899776,0.0004382218549097038,0.0005375913601811974,9.96118989314813e-07,9.771743816327233e-07
17,9906,0.9906,7.223029381967322e-06,0.001985831069208874,-1.7332400268292777e-05,0.0023133539567002084,-3.227494982073029e-05,0.010565339801181586,-2.4476372246200512e-05,0.0010059377668107904,0.0005257381061758634,0.0004407097497500961,9.961308467440803e-07,9.771784026772496e-07
18,9906,0.9906,2.2944109570948386e-05,0.0026979725285834594,-6.446413869187637e-05,0.003622851866585618,-3.71712382044209e-05,0.010639032586190873,-2.448144191845933e-05,0.001006530413167926,0.0005972740620791099,0.0003328105555607793,9.961431836700727e-07,9.771834797535303e-07
19,9906,0.9906,3.784498382929753e-05,0.003929849777339173,-0.00010929447228728427,0.005160176017804007,-4.206869434268059e-05,0.010716334924521799,-2.4487280691293062e-05,0.001007157066362191,0.0006493603763907069,0.00022458284740833897,9.961561822251106e-07,9.771895166760045e-07
20,9906,0.9906,5.139493199379729e-05,0.005223145168691384,-0.00015022348300733077,0.006629216984247627,-4.69674720922724e-05,0.010797178895244296,-2.4493888748017838e-05,0.0010078177416211439,0.0006797080162887888,0.00014762080961451283,9.96170039169231e-07,9.771963829115715e-07
21,9906,0.9906,6.311145432176126e-05,0.006412116432924923,-0.0001857905117448547,0.0079138913236406,-5.186772535149429e-05,0.010881495603687919,-2.450126629610846e-05,0.0010085124550110326,0.0006870420738266736,0.00016994951189464226,9.96184936165189e-07,9.77203938920742e-07
22,9906,0.9906,7.257745335719362e-05,0.007415293500422054,-0.00021472628643893826,0.008946006843054957,-5.676960806492743e-05,0.010969215438822445,-2.4509413567204925e-05,0.0010092412234390385,0.000671059646964036,0.0002659059538474614,9.96201010554154e-07,9.772120640852169e-07
23,9906,0.9906,7.945608281771874e-05,0.008181129175277134,-0.00023599821892530815,0.009679167505643129,-6.167327422834811e-05,0.011060268318221725,-2.4518330817119634e-05,0.001010004064655628,0.0006324237453145683,0.00037594996144762636,9.962183308354331e-07,9.772206816882438e-07
24,9906,0.9906,8.350273484630291e-05,0.008675058984976355,-0.0002488472539820193,0.010082738228190422,-6.657887789350852e-05,0.011154583919552057,-2.452801832584537e-05,0.0010108009972570101,0.0005727784676496233,0.0004803927698315968,9.962368808424779e-07,9.772297762793713e-07
25,9905,0.9905,8.509236731792409e-05,0.00887638217707114,-0.0002558325919087894,0.01013645756886421,-6.976379955452264e-05,0.011251353428096944,-2.447539056208571e-05,0.001011663621524296,0.0004948353996404172,0.0005710864327681306,9.96335383100038e-07,9.76868751098065e-07
26,9905,0.9905,8.315549531293514e-05,0.008776160078207166,-0.00025072307288006137,0.009845910594103576,-7.466106933729694e-05,0.011351981160065232,-2.448634891383108e-05,0.00101252868902377,0.00040258178562552893,0.0006436216267154045,9.963560111287843e-07,9.76879162641541e-07
