mean_H,std_H,mean_q,mean_p,q_rms,p_rms,step
-3.4682450595251892,0.5828182534736708,-0.019510582706128893,0.04451792915924988,0.46504320447598174,0.48978476595790055,0
-3.4682858883090275,0.5827716730232505,0.002202053102648578,0.05801227587956282,0.3885530809445563,0.6925285412195697,20
-3.4683499270538865,0.5826622953620337,0.022324105491453493,0.03768794543818369,0.25752716948382776,0.894693358827221,40
-3.468303113068978,0.5827257405769475,0.029440197675158472,-0.004244871924681651,0.3523470286739718,0.7598069999774907,60
-3.468247260397319,0.5828127895142267,0.019013236491318024,-0.045230229788418584,0.46035997011875496,0.504782802608116,80
-3.468277948207819,0.582792537700895,-0.0029618064679814227,-0.05860211474705079,0.406347495669957,0.6556354826193744,100
-3.468343611361072,0.5826833731590542,-0.02313696719390571,-0.037147448300992036,0.27153770044400166,0.878900127389818,120
-3.4683132906106082,0.5826957875308392,-0.029836448936859564,0.005419272879314323,0.3332816012311703,0.7911866490949511,140
-3.4682514912804066,0.5828005082326589,-0.01908054055502069,0.045753406714147335,0.45009956179976546,0.5350075658116333,160
-3.468272663862383,0.5828038972553631,0.003149443994232901,0.059522672650145055,0.41899887700586064,0.6272983281044401,180
-3.4683347528332913,0.5827122402895337,0.023762049787228862,0.038129417032219004,0.2921865235446016,0.8540874276442365,200
-3.4683202936458075,0.5826787526058808,0.030606629333019643,-0.005655290560806905,0.32040541170845105,0.8111435353551514,220
-3.468258305063086,0.5827786876756302,0.01971017697707357,-0.046060914466501846,0.4359703084685363,0.5741254194952912,240
-3.4682694649919625,0.5828086160464433,-0.0027174526928981212,-0.06045300170273801,0.4253524322120454,0.6113636412736831,260
-3.4683263281795473,0.5827363684630564,-0.0239668897498494,-0.04024122037263122,0.3138087435588941,0.8261435987905108,280
-3.4683221336575842,0.5826828621330885,-0.031564496546892654,0.004393856250324393,0.31623587479064796,0.817434512462707,300
-3.468267000668909,0.5827501190803053,-0.020888059420827432,0.04599586531602954,0.4207808297649714,0.6135552491005601,320
-3.4682683896379185,0.5828065517648924,0.0016528549104855416,0.061262449444649425,0.42551832189678235,0.6092445352763338,340
-3.4683191446101547,0.5827532700114938,0.02359900682498812,0.04296008461252937,0.3322003355932015,0.8001583555286881,360
