step,residue_coherence,orientation_alignment,corridor_count
0,0.000212787,0.00263424,0
100,0.0249329,0.00250496,0
200,0.0759145,0.00160623,0
300,0.208022,0.00197197,0
400,0.563417,0.000956515,40476
500,1.52417,0.000952053,65536
600,4.12267,0.00120822,65536
700,11.1511,0.00131872,65536
800,30.1615,0.00134349,65536
900,81.5812,0.00132331,65536
1000,220.662,0.00132284,65536
1100,596.852,0.00132289,65536
1200,1614.38,0.00132289,65536
1300,4366.58,0.00132289,65536
1400,11810.8,0.00132289,65536
1500,31945.9,0.0013229,65536
1600,86408,0.00132288,65536
1700,233718,0.00132289,65536
1800,632160,0.00132288,65536
1900,1.70988e+06,0.00132288,65536
1999,4.57913e+06,0.0013229,65536
