model,feedback,recovery_mean,recovery_std
agent,0.0,0.2640463151187155,0.06373326634493581
agent,0.5,0.4353105601114658,0.08996787305206826
pde,0.0,0.3828125,0.0
pde,0.5,0.3828125,0.0
