trial_id,omega_std,K,metric_order_parameter,metric_local_coherence_mean,metric_step,metric_time
0,0.0069103463719141995,1.5,0.11999441326017318,0.9841921726070446,1990,99.5
1,0.3873349434144523,2.5,0.24248073837391274,0.90273873134748,1990,99.5
2,0.4894533672354346,2.5,0.16753186159677264,0.8398002733910592,1990,99.5
3,0.45384266056684097,1.5,0.16301531542682465,0.8578349155669611,1990,99.5
4,0.051421830199465994,2.5,0.2483759954488162,0.989140803658644,1990,99.5
5,0.055305514471508915,2.5,0.25709292028321146,0.9886044958027815,1990,99.5
6,0.4622738238017759,2.5,0.2587102458763472,0.8667929845429032,1990,99.5
7,0.3316912857897445,2.5,0.4507215606907313,0.9165864526707124,1990,99.5
8,0.15224231016921372,2.5,0.12657959116208756,0.9599925271526938,1990,99.5
9,0.11505645383724934,1.5,0.06499464097775513,0.945350826345613,1990,99.5
10,0.15582437179267158,1.5,0.27171204387906966,0.9163732269997129,1990,99.5
11,0.4373895670742932,2.5,0.41331157633441473,0.8510884263028022,1990,99.5
12,0.285271244461148,1.5,0.4147438744961878,0.8766587876275561,1990,99.5
13,0.45628292227845557,1.5,0.14650387239307744,0.8538099534157204,1990,99.5
14,0.46721006005119237,1.5,0.11361116467480438,0.8512805365683337,1990,99.5
15,0.16841920796280463,2.5,0.10044003730616104,0.954757173002109,1990,99.5
16,0.4731401660974556,1.5,0.07836825384649665,0.8410502401074134,1990,99.5
17,0.20740018186825515,2.5,0.29279118430773604,0.9306105593527857,1990,99.5
18,0.42678166176810817,2.5,0.4485633048403746,0.8559963072487609,1990,99.5
19,0.3073913116380207,1.5,0.4871571992534888,0.8563463150833366,1990,99.5
20,0.2901134771538637,2.5,0.40134921325637196,0.8944525151156479,1990,99.5
21,0.2823908277942778,2.5,0.38547090447097737,0.8980932151916725,1990,99.5
22,0.23041262262241602,2.5,0.27799443123174955,0.9213095564761462,1990,99.5
23,0.09410285762250958,1.5,0.11231624099930955,0.9551627734385921,1990,99.5
24,0.3188687614036048,2.5,0.4326132657215394,0.883666564933721,1990,99.5
25,0.0378972300036819,1.5,0.44257761442806604,0.9812157666443517,1990,99.5
26,0.1494277984114863,1.5,0.2739592740629171,0.9199628520689753,1990,99.5
27,0.18914477216483983,1.5,0.3276859696480481,0.8966160672141361,1990,99.5
28,0.11500650001233854,2.5,0.27396354038235227,0.970559331806561,1990,99.5
29,0.34434543419291747,1.5,0.20848687620866183,0.8399369457595973,1990,99.5
