step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00725761,0.000942341,28507,0.00362839,0.0425195,0.00398169,0.434982
100,5.79694,0.000761227,59519,0.128944,0.616096,0.00470863,0.908188
200,13.5044,0.00319072,57235,0.159462,0.658407,0.00557563,0.873337
300,18.8133,0.004695,56837,0.17373,0.72984,0.00646917,0.867264
400,22.4198,0.00628998,56925,0.182849,0.801971,0.00710351,0.868607
500,25.1078,0.00410722,57043,0.189937,0.750287,0.00764655,0.870407
600,27.1443,0.00511353,57342,0.194499,0.742078,0.00821566,0.874969
700,29.0788,0.00735824,57496,0.198042,0.7446,0.00879489,0.877319
800,30.5628,0.0052633,57612,0.203788,0.795106,0.00916469,0.879089
900,32.2017,0.00719263,57777,0.20746,0.766795,0.00949447,0.881607
1000,33.6123,0.00782267,57918,0.209694,0.804427,0.00977016,0.883759
1100,34.5436,0.00705613,58091,0.21287,0.803737,0.00995379,0.886398
1200,36.1932,0.00320704,58288,0.215465,0.784283,0.0103626,0.889404
1300,37.8963,0.00328708,58515,0.21898,0.822822,0.0106636,0.892868
1400,39.6656,0.00246442,58756,0.221981,0.816072,0.0110241,0.896545
1500,41.6473,0.00378501,58913,0.225095,0.802533,0.0114695,0.898941
1600,43.5951,0.011427,59072,0.227518,0.82719,0.0120187,0.901367
1700,45.5304,0.0148359,59227,0.230066,0.761664,0.0125752,0.903732
1800,47.4761,0.0168586,59349,0.23191,0.846022,0.0129718,0.905594
1900,49.1175,0.0118558,59433,0.235563,0.852463,0.0133154,0.906876
1999,50.8444,0.00801284,59534,0.2388,0.809941,0.0134326,0.908417
