step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00552397,0.00255454,13697,0.00276169,0.0421307,0.00628121,0.209
100,3.28209,0.00103515,46976,0.0559862,0.334663,0.00676847,0.716797
200,8.84273,0.00612814,49128,0.0732095,0.351209,0.00693437,0.749634
300,13.2893,0.00309968,50152,0.0808168,0.356159,0.00706246,0.765259
400,16.4853,0.00504248,50813,0.0859318,0.383956,0.00730755,0.775345
500,18.6989,0.00183889,51455,0.0896233,0.379094,0.00759457,0.785141
600,20.4033,0.00633895,51859,0.092603,0.372309,0.00789304,0.791306
700,22.1172,0.00759929,52301,0.0948846,0.367901,0.00833625,0.79805
800,23.425,0.00514508,52749,0.0974896,0.409892,0.00862087,0.804886
900,24.7118,0.00355706,53003,0.0996448,0.394235,0.00889159,0.808762
1000,25.8773,0.00442879,53338,0.10083,0.395459,0.00931743,0.813873
1100,27.3864,0.00336915,53712,0.102236,0.362819,0.0100492,0.81958
1200,28.6135,0.0030249,53958,0.104033,0.38033,0.0104589,0.823334
1300,29.8643,0.00433442,54200,0.105469,0.389091,0.0109202,0.827026
1400,30.7513,0.00634575,54281,0.106345,0.393815,0.0113044,0.828262
1500,31.7241,0.00766455,54499,0.107373,0.41072,0.0114868,0.831589
1600,32.7385,0.00757547,54757,0.108761,0.384865,0.0118101,0.835526
1700,34.2031,0.00592058,55026,0.110329,0.399187,0.0119909,0.83963
1800,35.8948,0.014788,55352,0.111723,0.397675,0.0122785,0.844604
1900,36.9652,0.0131579,55427,0.11263,0.39454,0.0125407,0.845749
1999,38.0577,0.0168303,55642,0.113942,0.392261,0.01285,0.84903
