step,residue_coherence,orientation_alignment,corridor_count
0,3.13281e-06,0.00172196,0
100,0.000153233,0.00170009,0
200,0.000200312,0.00166004,0
300,0.000248901,0.00162358,0
400,0.000296166,0.00159117,0
500,0.000332277,0.00155647,0
600,0.000355451,0.00151627,0
700,0.000368004,0.00147121,0
800,0.00037293,0.00142294,0
900,0.000372664,0.0013733,0
1000,0.000368939,0.00132397,0
1100,0.000362936,0.00127624,0
1200,0.000355451,0.00123113,0
1300,0.000347017,0.00118923,0
1400,0.000337997,0.0011509,0
1500,0.000328643,0.00111622,0
1600,0.000319128,0.00108514,0
1700,0.000309571,0.00105752,0
1800,0.000300063,0.00103313,0
1900,0.000290663,0.00101168,0
1999,0.00028151,0.000993071,0
