step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,3.14968e-06,0.000577461,0,0,0
100,0.000153585,0.000597732,65535,0,0
200,0.000200675,0.000629599,65536,0,0
300,0.000250262,0.000656807,65536,0,0
400,0.000298669,0.000677334,65536,0,0
500,0.000335636,0.000692349,65536,0,0
600,0.000359272,0.000704162,65536,0,0
700,0.000371972,0.000714558,65536,0,0
800,0.000376823,0.000724557,65536,0,0
900,0.000376332,0.000734676,65536,0,0
1000,0.000372295,0.000745105,65536,0,0
1100,0.000365942,0.000755847,65536,0,0
1200,0.00035809,0.00076682,65536,0,0
1300,0.000349295,0.000777871,65536,0,0
1400,0.000339932,0.000788879,65536,0,0
1500,0.000330255,0.000799704,65536,0,0
1600,0.000320442,0.000810266,65536,0,0
1700,0.000310614,0.000820475,65536,0,0
1800,0.000300862,0.000830291,65536,0,0
1900,0.000291237,0.000839689,65536,0,0
1999,0.000281888,0.000848559,65536,0,0
