model,resolution,mean,std,min,max
agent,100,0.38058430918781233,0.09463559783814815,0.28299277076469115,0.4733403212085024
agent,1600,0.018672051516194617,0.008287707963834653,0.009986963839569887,0.03146167347450251
pde,32,0.34375,0.0,0.34375,0.34375
pde,512,0.322265625,0.0,0.322265625,0.322265625
