step,residue_coherence,orientation_alignment,corridor_count
0,0.000113357,0.000550071,0
100,0.0111155,0.000508666,0
200,0.0268877,0.000258201,0
300,0.0580844,0.000697851,0
400,0.127912,0.00169943,0
500,0.306006,0.00207095,70
600,0.858357,0.00232404,59244
700,2.61565,0.000203083,65536
800,7.36558,0.00181605,65536
900,20.0406,0.000732531,65536
1000,54.2498,0.00126769,65536
1100,146.752,0.00131148,65535
1200,396.939,0.00114222,65536
1300,1073.65,0.00109743,65536
1400,2904.03,0.000997445,65536
1500,7854.85,0.000759787,65536
1600,21246.1,0.00107762,65536
1700,57466.8,0.00127429,65536
1800,155437,0.00137046,65536
1900,420424,0.000955736,65536
1999,1.12591e+06,0.000467701,65536
