x_mean,x_rms,p_rms,order_parameter,local_coherence_mean,residue_mean,mismatch_mean,step,time
-0.05169917585180776,0.45060262539009766,0.47455894817086414,0.1341029875585715,0.0518668862477129,1.9999176382799032e-06,0.0001999896420978957,0,0.0
-0.04934612918938642,0.44854853114772136,0.47475350384215365,0.14619457329867475,0.07215640972487734,0.00024187312421437919,0.002198435339020201,10,0.2
-0.0467957637962797,0.46448752892081685,0.4732183443586911,0.16364808753923593,0.08468430586057092,0.0008809953009922853,0.004193218834506393,20,0.4
-0.04405827773402596,0.49645627140088633,0.4699612589868959,0.1898731354064466,0.09948116077156122,0.0019185106672695326,0.006183822272151647,30,0.6
-0.0411446172973791,0.541170409244212,0.464998845918695,0.22868349206307664,0.13869062578840613,0.003353185423842251,0.00816645844243093,40,0.8
-0.03806643324372284,0.5951445671053252,0.4583565886014647,0.280428839132001,0.18005564490824352,0.005182963107035035,0.010137638083552527,50,1.0
-0.03483603420557316,0.6553501068602776,0.45006898541633694,0.3436616770619338,0.23534361479218838,0.007405063244782254,0.012092580556794923,60,1.2
-0.03146633747245796,0.7193904018077452,0.44017975063439213,0.4187219456283141,0.313464837167587,0.01001537622070803,0.01402261426372438,70,1.4000000000000001
-0.027970817338979322,0.7854340680579113,0.42874211405373325,0.5020620507495385,0.41180394360013856,0.013007698485681373,0.015916389928164326,80,1.6
-0.024363451225598638,0.8520845678592384,0.4158192597890046,0.5825095492498704,0.5278176019238354,0.01637336556979204,0.017760289356640698,90,1.8
-0.02065866378758885,0.9182608131177424,0.4014849633536656,0.6475760133558258,0.6342158946108305,0.02010126041396406,0.01954497409601792,100,2.0
-0.016871269235643624,0.9831068744777861,0.38582451351010555,0.6969091599058442,0.7143289409482136,0.0241794462728559,0.021271972068226844,110,2.2
-0.013016412098784147,1.0459285910721647,0.3689360461213233,0.7321712604100216,0.7758886687995215,0.028596731614933493,0.022944931505873983,120,2.4
-0.009109506666433233,1.106150365835876,0.3509324788416843,0.7563327877766609,0.8161969483180969,0.03334272434174873,0.024569488647256766,130,2.6
-0.005166175351807155,1.1632859925387196,0.3319443294381934,0.775130290394012,0.8442532678915038,0.0384083484430614,0.026151808212623178,140,2.8000000000000003
