Starting CA simulation on 128x128 grid for 1000 steps...
Step 0: Active Fraction = 0.0037, Mean Residue = 0.0964
Step 50: Active Fraction = 0.0015, Mean Residue = 0.0174
Step 100: Active Fraction = 0.0032, Mean Residue = 0.0065
Step 150: Active Fraction = 0.0012, Mean Residue = 0.0052
Step 200: Active Fraction = 0.0007, Mean Residue = 0.0050
Step 250: Active Fraction = 0.0017, Mean Residue = 0.0048
Step 300: Active Fraction = 0.0017, Mean Residue = 0.0047
Step 350: Active Fraction = 0.0020, Mean Residue = 0.0045
Step 400: Active Fraction = 0.0010, Mean Residue = 0.0045
Step 450: Active Fraction = 0.0015, Mean Residue = 0.0045
Step 500: Active Fraction = 0.0010, Mean Residue = 0.0048
Step 550: Active Fraction = 0.0022, Mean Residue = 0.0046
Step 600: Active Fraction = 0.0032, Mean Residue = 0.0045
Step 650: Active Fraction = 0.0039, Mean Residue = 0.0049
Step 700: Active Fraction = 0.0015, Mean Residue = 0.0047
Step 750: Active Fraction = 0.0022, Mean Residue = 0.0048
Step 800: Active Fraction = 0.0005, Mean Residue = 0.0048
Step 850: Active Fraction = 0.0022, Mean Residue = 0.0049
Step 900: Active Fraction = 0.0017, Mean Residue = 0.0046
Step 950: Active Fraction = 0.0029, Mean Residue = 0.0049
Simulation complete. Outputs saved to outputs/runs/research_one_process_stability_2026-05-01/jobs/ca_rg_0.1_seed_1
