step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00159179,0.0020079,1648,0.00158869,0.0357397,0.00853207,0.100586
100,0.371788,0.0057419,10420,0.109044,0.8549,0.00979927,0.635986
200,1.47945,0.0113143,12274,0.202669,1.06726,0.011222,0.749146
300,3.19319,0.00667327,12843,0.259328,1.17284,0.0117148,0.783875
400,4.83502,0.00689325,13113,0.286498,1.28511,0.0119064,0.800354
500,6.01863,0.00720583,13224,0.30961,1.27625,0.0127259,0.807129
600,7.1029,0.00804085,13343,0.3247,1.30459,0.0137643,0.814392
700,7.92882,0.00779554,13403,0.336465,1.33973,0.0147134,0.818054
800,8.5547,0.0115409,13450,0.342831,1.21288,0.0157192,0.820923
900,9.35323,0.00926265,13583,0.355771,1.42938,0.0163517,0.829041
999,10.0832,0.00300101,13693,0.360583,1.32733,0.0172689,0.835754
