tool,s,kappa,mode,seed,obs
agent,0.0,0.0,cold,1000,0.33638135985390444
agent,0.0,0.5,cold,1000,0.03948732594007404
agent,0.0,1.0,cold,1000,0.04014282639368775
agent,0.0,1.5,cold,1000,0.03986834063873252
agent,0.03333333333333333,0.0,cold,1000,0.03179554799470486
agent,0.03333333333333333,0.5,cold,1000,0.03948732594007404
agent,0.03333333333333333,1.0,cold,1000,0.04014282639368775
agent,0.03333333333333333,1.5,cold,1000,0.17163348565313075
agent,0.06666666666666667,0.0,cold,1000,0.03179554799470486
agent,0.06666666666666667,0.5,cold,1000,0.03948732594007404
agent,0.06666666666666667,1.0,cold,1000,0.04014282639368775
agent,0.06666666666666667,1.5,cold,1000,0.03986834063873252
agent,0.1,0.0,cold,1000,0.03179554799470486
agent,0.1,0.5,cold,1000,0.03948732594007404
agent,0.1,1.0,cold,1000,
agent,0.1,1.5,cold,1000,0.03986834063873252
agent,0.0,0.0,warm,1000,0.9995661388775714
agent,0.0,0.5,warm,1000,0.99951733793681
agent,0.0,1.0,warm,1000,0.9995148887623171
agent,0.0,1.5,warm,1000,0.9994130955311225
agent,0.03333333333333333,0.0,warm,1000,0.99931004444246
agent,0.03333333333333333,0.5,warm,1000,0.99951733793681
agent,0.03333333333333333,1.0,warm,1000,0.9993271222915664
agent,0.03333333333333333,1.5,warm,1000,0.9995201664975228
agent,0.06666666666666667,0.0,warm,1000,0.9995661388775714
agent,0.06666666666666667,0.5,warm,1000,0.99951733793681
agent,0.06666666666666667,1.0,warm,1000,0.9991559261263865
agent,0.06666666666666667,1.5,warm,1000,0.9995201664975228
agent,0.1,0.0,warm,1000,0.9995661388775714
agent,0.1,0.5,warm,1000,0.99951733793681
agent,0.1,1.0,warm,1000,0.9981843736982575
agent,0.1,1.5,warm,1000,0.9995201664975228
