step,residue_coherence,orientation_alignment,corridor_count
0,9.44613e-05,0.000550071,0
100,0.0103391,0.000549715,0
200,0.0252397,0.00055003,0
300,0.0547243,0.000552779,0
400,0.120599,0.000569783,0
500,0.288275,0.000738472,39
600,0.806258,0.00318616,49042
700,2.43901,0.00324043,65536
800,6.89457,0.00175397,65536
900,18.7899,0.00200391,65536
1000,50.8755,0.00106136,65536
1100,137.627,0.0010192,65536
1200,372.264,0.001012,65536
1300,1006.9,0.00101011,65536
1400,2723.51,0.00101351,65536
1500,7366.57,0.0010135,65536
1600,19925.1,0.00101351,65536
1700,53893.8,0.00101351,65536
1800,145772,0.00101351,65536
1900,394288,0.00101351,65536
1999,1.05592e+06,0.00101351,65536
