step,residue_coherence,orientation_alignment,corridor_count
0,0.000101001,0.00129529,0
100,0.0522128,0.00910481,0
200,0.12744,0.0140671,0
300,0.194714,0.00597952,0
400,0.25508,0.00665088,222
500,0.334253,0.00616435,1156
600,0.525655,0.0100382,1668
700,1.09603,0.00569785,1923
800,2.69146,0.0113789,2172
900,7.02766,0.00735227,2393
1000,18.3565,0.00803639,2636
1100,47.7941,0.00436644,2878
1200,125.863,0.0087996,3063
1300,328.077,0.0063194,3247
1400,855.094,0.00705701,3438
1500,2216.37,0.0031325,3633
1600,5739.06,0.0121154,3808
1700,14939.1,0.00942204,3976
1800,38657,0.0155485,4111
1900,100252,0.00757449,4304
1999,250150,0.0101735,4475
