trial_id,omega_std,K,metric_order_parameter,metric_local_coherence_mean,metric_step,metric_time
0,0.25410393006797816,2.5,0.3166080013175533,0.9110697258344835,1990,99.5
1,0.3374739330597931,2.5,0.3339523223729549,0.8915686719835492,1990,99.5
2,0.1634899338552581,2.5,0.10410766583955029,0.9563934041403229,1990,99.5
3,0.04399940283152463,1.5,0.4467572089189386,0.9796388884381955,1990,99.5
4,0.4678896266746422,2.5,0.21687622631316497,0.8606391947257985,1990,99.5
5,0.08136418802104187,1.5,0.14841282016459834,0.9605181873510776,1990,99.5
6,0.30096240691770804,2.5,0.4188572382539149,0.8893520889389286,1990,99.5
7,0.24521726256170812,1.5,0.30346906633112347,0.8859776046821634,1990,99.5
8,0.11331999008866876,2.5,0.28155475721674883,0.970988443716381,1990,99.5
9,0.42845035037708273,1.5,0.30489072145165474,0.8111997951554157,1990,99.5
10,0.3762368234275775,1.5,0.11416682128672856,0.8303153416530097,1990,99.5
11,0.06306833953054725,1.5,0.2098038391479739,0.9673869509579998,1990,99.5
12,0.29848831732449316,2.5,0.41542350402808326,0.890504419370221,1990,99.5
13,0.285930148158665,2.5,0.3930517942438224,0.8964273603981427,1990,99.5
14,0.20078541729284302,1.5,0.35031191051909144,0.9143502736720922,1990,99.5
15,0.02258654680924948,2.5,0.41419613498461433,0.9900385230399712,1990,99.5
16,0.05170511853111351,1.5,0.2511111020964962,0.9711527034927501,1990,99.5
17,0.11963409044292853,2.5,0.25321116106181335,0.9693597387079422,1990,99.5
18,0.3333736469646321,2.5,0.4557445552223394,0.9143807849140527,1990,99.5
19,0.1492789868107763,1.5,0.27408308674897647,0.9200453771596728,1990,99.5
20,0.13900449054155423,1.5,0.2903215826966795,0.9256297559561453,1990,99.5
21,0.4151436361539109,1.5,0.3634094755867136,0.7945216976924903,1990,99.5
22,0.07880842539161088,1.5,0.15637871780094975,0.9615363889811459,1990,99.5
23,0.1254556460513759,1.5,0.331042662981877,0.9326403623948164,1990,99.5
24,0.21462869167036577,1.5,0.34716139281060837,0.9050710301780434,1990,99.5
25,0.09523402904157703,1.5,0.1094058295328771,0.9546648014853898,1990,99.5
26,0.40330948416185425,1.5,0.389702551293494,0.8063141146768716,1990,99.5
27,0.00397485929356934,2.5,0.44293642496829827,0.9908997118391533,1990,99.5
28,0.17351481520500414,1.5,0.292338388420766,0.9060567957498524,1990,99.5
29,0.38112390589946255,1.5,0.11048438715870351,0.8568077989675531,1990,99.5
