step,residue_coherence,orientation_alignment,corridor_count
0,3.14265e-06,0.00263424,0
100,0.000153359,0.00275073,0
200,0.00020019,0.00296866,0
300,0.00024863,0.00320658,0
400,0.000295753,0.00343031,0
500,0.000331761,0.0036259,0
600,0.000354833,0.00379153,0
700,0.000367285,0.00392973,0
800,0.000372126,0.00404431,0
900,0.000371792,0.00413902,0
1000,0.000368015,0.00421705,0
1100,0.000361981,0.00428139,0
1200,0.000354474,0.00433433,0
1300,0.000346032,0.0043779,0
1400,0.000337015,0.00441379,0
1500,0.000327669,0.00444319,0
1600,0.000318169,0.00446736,0
1700,0.00030863,0.00448704,0
1800,0.000299145,0.00450301,0
1900,0.000289768,0.00451581,0
1999,0.000280638,0.00452585,0
