step,residue_coherence,orientation_alignment,corridor_count
0,0.000212941,0.000550071,0
100,0.0249505,0.000534069,0
200,0.0759663,0.00031158,0
300,0.20816,0.000631528,0
400,0.563789,0.00115199,40427
500,1.52518,0.00055884,65536
600,4.12539,0.000862111,65536
700,11.1585,0.000930276,65536
800,30.1817,0.000896767,65536
900,81.6353,0.000921548,65536
1000,220.809,0.00092179,65536
1100,597.249,0.000921829,65536
1200,1615.44,0.000921844,65536
1300,4369.45,0.00092183,65536
1400,11818.6,0.000921833,65536
1500,31967.2,0.000921843,65536
1600,86464.6,0.000921873,65536
1700,233871,0.000921876,65536
1800,632579,0.000921868,65536
1900,1.71101e+06,0.000921861,65536
1999,4.58215e+06,0.00092187,65536
