step,residue_coherence,orientation_alignment,corridor_count
0,0.000113457,0.001764,0
100,0.0111274,0.00185343,0
200,0.026932,0.00203602,0
300,0.058231,0.00186141,0
400,0.128547,0.00282193,0
500,0.309581,0.00232063,2028
600,0.875475,0.00123938,52838
700,2.64572,0.00139857,65536
800,7.44489,0.00139189,65536
900,20.2659,0.00134622,65536
1000,54.8627,0.00134502,65536
1100,148.411,0.00134484,65536
1200,401.433,0.00134482,65536
1300,1085.8,0.00134481,65536
1400,2936.87,0.00134481,65536
1500,7943.75,0.0013448,65536
1600,21486.2,0.00134481,65536
1700,58116.4,0.00134481,65536
1800,157194,0.00134482,65536
1900,425178,0.00134481,65536
1999,1.13865e+06,0.00134482,65536
