config.K,config.box.epsilon_max,config.box.residue_max,config.box.rho_max,config.box.rho_min,config.diffusion_rate,config.dt,config.edge_prob,config.forbidden_node,config.grid.dt,config.grid.length,config.grid.nx,config.grid.save_every,config.grid.t_final,config.grid_size,config.initial_condition.epsilon_amplitude,config.initial_condition.epsilon_base,config.initial_condition.epsilon_kind,config.initial_condition.epsilon_offset,config.initial_condition.epsilon_sigma,config.initial_condition.noise_std,config.initial_condition.residue_amplitude,config.initial_condition.residue_base,config.initial_condition.residue_kind,config.initial_condition.residue_offset,config.initial_condition.residue_sigma,config.initial_condition.rho_amplitude,config.initial_condition.rho_base,config.initial_condition.rho_kind,config.initial_condition.rho_offset,config.initial_condition.rho_sigma,config.initial_condition.seed,config.initial_residue,config.initial_x,config.kappa,config.model.D_R,config.model.D_epsilon,config.model.D_rho,config.model.a,config.model.alpha,config.model.b,config.model.beta,config.model.c,config.model.clamp_nonnegative,config.model.epsilon_activity_threshold,config.model.gamma,config.model.h,config.model.kappa,config.model.lambda_R,config.model.s,config.model.u,config.model.v,config.n_agents,config.n_oscillators,config.n_particles,config.n_states,config.omega_dist,config.omega_mean,config.omega_std,config.output_dir,config.residue_decay,config.residue_growth,config.residue_required,config.residue_threshold_node,config.seed,config.sigma,config.source_radius,config.source_strength,config.steps,config.x_thresh,final.active_count,final.active_fraction,final.box_epsilon_margin,final.box_residue_margin,final.box_rho_lower_margin,final.box_rho_upper_margin,final.crossing_fraction,final.epsilon_active_fraction,final.epsilon_max,final.epsilon_mean,final.live_easy_regime_margin,final.live_support_floor_margin,final.local_coherence_mean,final.max_mismatch,final.mean_mismatch,final.mean_residue,final.mean_x,final.onset_count,final.order_parameter,final.residue_max,final.residue_mean,final.rho_max,final.rho_mean,final.rho_min,final.saved_steps,final.std_x,final.step,final.time,final.within_box,final.worst_box_face,final.worst_box_margin,first_box_violation,run_dir,run_name,status,summary_path,total_halted
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,22,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed22,ca_baseline_seed22,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed22\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,23,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed23,ca_baseline_seed23,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_baseline_seed23\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,11,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed11,ca_no_residue_seed11,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed11\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,12,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed12,ca_no_residue_seed12,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed12\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,13,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed13,ca_no_residue_seed13,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed13\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,21,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed21,ca_no_residue_seed21,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed21\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,22,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed22,ca_no_residue_seed22,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed22\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,23,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed23,ca_no_residue_seed23,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_no_residue_seed23\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,0,,5,1.0,500,,,1.0,,,,,,,,,,,,0.1230252726168903,0.019775390625,0.0,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L0,ca_sweep_L0,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L0\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,0,,5,1.0,500,,,0.0068359375,,,,,,,,,,,,0.46384212804276065,0.015402834931287628,0.011560720589556518,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L1,ca_sweep_L1,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L1\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,0,,5,1.0,500,,,0.006103515625,,,,,,,,,,,,0.7805201307163795,0.016866377560431866,0.017875318512714435,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L2,ca_sweep_L2,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L2\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.1,,,0,,5,1.0,500,,,0.001953125,,,,,,,,,,,,0.931200606008927,0.01757905723048546,0.021240566150311443,,,,,,,,,,,490,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L3,ca_sweep_L3,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\ca_sweep_L3\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,,,42,,5,1.0,200,,,1.0,,,,,,,,,,,,0.28639166265946997,0.019775390625,0.0,,,,,,,,,,,190,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Admissibility_Off__CA_____Runaway_Activity,Admissibility_Off__CA_____Runaway_Activity,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Admissibility_Off__CA_____Runaway_Activity\summary.json,
,,,,,,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,20,,,,,,,1000,0,0,,,,10,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Fully_Gated__FSA_____Immediate_Halt,Fully_Gated__FSA_____Immediate_Halt,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Fully_Gated__FSA_____Immediate_Halt\summary.json,1000
,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,42,0.01,,,500,1.5,,,,,,,0.0,,,,,,,,,,-7.63480903788918e-05,0,,,,,,,,0.005026321686116644,490,4.9,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Low_Noise_Trapping__Stochastic_,Low_Noise_Trapping__Stochastic_,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Low_Noise_Trapping__Stochastic_\summary.json,
0.0,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,gaussian,1.0,0.1,,,,,,42,,,,500,,,,,,,,,,,,,,0.4232555904473164,,,,,,0.14679208346276784,,,,,,,,490,24.5,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\No_Coupling____No_Synch__Kuramoto_,No_Coupling____No_Synch__Kuramoto_,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\No_Coupling____No_Synch__Kuramoto_\summary.json,
,,,,,,,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,20,,,,,,,0,999,0,,,,10,,1000,,,,,,,,,,,,,,,10.0,,,,,,,,,,,9,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\No_Gating___Dense_Graph__FSA_____All_Active,No_Gating___Dense_Graph__FSA_____All_Active,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\No_Gating___Dense_Graph__FSA_____All_Active\summary.json,0
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.1,,,42,,5,1.0,200,,,0.0009765625,,,,,,,,,,,,0.9940561482765089,0.01852880233709015,0.04834496852123464,,,,,,,,,,,190,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Strong_Residue__CA_____Low_Activity,Strong_Residue__CA_____Low_Activity,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Strong_Residue__CA_____Low_Activity\summary.json,
,,,,,0.1,,,,,,,,,64,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.05,,,42,,100,1.0,100,,,0.0,,,,,,,,,,,,1.0,1.0,0.04006846529515407,,,,,,,,,,,90,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Zero_Mismatch____Inert__CA_,Zero_Mismatch____Inert__CA_,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\falsification\Zero_Mismatch____Inert__CA_\summary.json,
,,,,,,,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,20,,,,,,,15,10,21,,,,100,,200,,,,,,,,,,,,,,,100.0,,,,,,,,,,,99,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\fsa_baseline_seed21,fsa_baseline_seed21,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\fsa_baseline_seed21\summary.json,800
,,,,,,,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,20,,,,,,,15,10,22,,,,100,,4,,,,,,,,,,,,,,,100.0,,,,,,,,,,,99,,,,,,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\fsa_baseline_seed22,fsa_baseline_seed22,completed,D:\acellorator\outputs\research_residue_necessity_2026-04-25\runs\fsa_baseline_seed22\summary.json,996
