order_parameter,local_coherence_mean,step,time
0.09599924514121988,0.3933580883272268,0,0.0
0.08910726125857431,0.6023201736421067,10,0.5
0.06545991700229806,0.7293901575675954,20,1.0
0.06358599213594746,0.8093873069164799,30,1.5
0.07752319457198943,0.8539985882160157,40,2.0
0.09212444700356023,0.8758754981526335,50,2.5
0.10540663999874485,0.8874194675507003,60,3.0
0.11741586047649152,0.8946742907486583,70,3.5
0.12834124452824153,0.8998219480123554,80,4.0
0.1383746700264457,0.9037827358198776,90,4.5
0.14764800145861062,0.9069925590114188,100,5.0
0.1562362420862288,0.9096772168940042,110,5.5
0.1641762352896797,0.911964172026019,120,6.0
0.17148315561690064,0.9139320209042816,130,6.5
0.17816177031570266,0.9156335981174205,140,7.0
0.18421338129532053,0.9171072243216472,150,7.5
0.18963985538556374,0.9183824059684453,160,8.0
0.19444583547665664,0.9194828599819163,170,8.5
0.19863984872234747,0.9204282131706517,180,9.0
0.2022347521007274,0.921235024826885,190,9.5
0.20524778038631533,0.9219174499469036,200,10.0
0.20770035643873164,0.9224877014924426,210,10.5
0.20961776169213242,0.9229563926788078,220,11.0
0.21102872786616325,0.9233328021061958,230,11.5
0.21196498847020454,0.9236250854804152,240,12.0
0.2124608145343825,0.9238404479634853,250,12.5
0.21255254977795748,0.9239852861122161,260,13.0
0.21227815423133398,0.9240653055813599,270,13.5
0.2116767610985695,0.9240856191458171,280,14.0
0.2107882487692802,0.9240508285717701,290,14.5
0.20965282799890236,0.9239650931623611,300,15.0
0.208310643154361,0.9238321872822322,310,15.5
0.20680138593223035,0.9236555487578579,320,16.0
0.20516392001050385,0.9234383197212035,330,16.5
0.2034359156288538,0.9231833811930369,340,17.0
0.20165349404587718,0.9228933824771256,350,17.5
0.1998508831235709,0.9225707662493579,360,18.0
0.19806008684201593,0.9222177900703358,370,18.5
0.19631057321924078,0.9218365449211317,380,19.0
0.194628986733503,0.921428971255468,390,19.5
0.193038892718097,0.9209968729738918,400,20.0
0.19156056210912695,0.9205419296534829,410,20.5
