step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.58688e-06,0.00245429,0,0,0
100,7.72449e-05,0.00250239,16908,0,0
200,0.000100394,0.00257729,16908,0,0
300,0.000124476,0.00263742,16908,0,0
400,0.000148148,0.00267479,16908,0,0
500,0.000166386,0.00269054,16908,0,0
600,0.000178135,0.00268928,16908,0,0
700,0.00018451,0.00267609,16908,0,0
800,0.000187005,0.00265534,16908,0,0
900,0.000186855,0.00263042,16908,0,0
1000,0.000184947,0.00260368,16908,0,0
1100,0.000181883,0.00257679,16908,0,0
1200,0.000178068,0.00255077,16908,0,0
1300,0.000173777,0.00252617,16908,0,0
1400,0.000169195,0.00250337,16908,0,0
1500,0.00016445,0.00248247,16908,0,0
1600,0.000159628,0.00246349,16908,0,0
1700,0.000154793,0.00244632,16908,0,0
1800,0.000149987,0.00243084,16908,0,0
1900,0.000145242,0.00241695,16908,0,0
1999,0.000140625,0.0024046,48628,0,0
