order_parameter,local_coherence_mean,step,time
0.09549236472713045,0.4231338295944937,0,0.0
0.043376663035770195,0.7674686748108344,10,0.5
0.0335732383392183,0.8537658019424673,20,1.0
0.03172333474035029,0.883934535915438,30,1.5
0.037005221951605036,0.8983238161670666,40,2.0
0.04694508853441443,0.9072455581049821,50,2.5
0.059953955150453486,0.9134775055931537,60,3.0
0.07448811821188696,0.9181778188994714,70,3.5
0.08953498313409156,0.9219154004702297,80,4.0
0.10447672364615257,0.924998449341519,90,4.5
0.11893492355047812,0.9276073975318899,100,5.0
0.13267926742263758,0.9298554941003194,110,5.5
0.14557542546639854,0.9318185102951156,120,6.0
0.15755314059247497,0.933550098255966,130,6.5
0.16858535011357065,0.9350900971589572,140,7.0
0.17867396864361268,0.9364692241895562,150,7.5
0.1878400264459703,0.9377118465306116,160,8.0
0.19611679157165765,0.9388377006733287,170,8.5
0.2035449808429768,0.939863014113224,180,9.0
0.21016944421751008,0.9408012746292106,190,9.5
0.21603688922630399,0.9416637826973582,200,10.0
0.22119433814174558,0.9424600641185927,210,10.5
0.2256880998179181,0.9431981881392422,220,11.0
0.2295631018445481,0.9438850186869119,230,11.5
0.2328624740327486,0.9445264163074543,240,12.0
0.23562730645034138,0.9451274025218057,250,12.5
0.2378965279841977,0.9456922947752473,260,13.0
0.2397068674468911,0.9462248179227245,270,13.5
0.24109287052967127,0.9467281967307455,280,14.0
0.24208695383896003,0.9472052328716493,290,14.5
0.2427194828363291,0.9476583691656331,300,15.0
0.24301886443485354,0.9480897432892335,310,15.5
0.24301164778066028,0.9485012327563227,320,16.0
0.2427226287121394,0.9488944926526655,330,16.5
0.24217495478152487,0.9492709873444554,340,17.0
0.2413902287127268,0.9496320171696906,350,17.5
0.24038860887323665,0.9499787409480356,360,18.0
0.239188905839283,0.9503121950022453,370,18.5
0.23780867449033558,0.950633309266469,380,19.0
0.23626430132261547,0.9509429209592873,390,19.5
0.23457108685056355,0.9512417862185605,400,20.0
0.23274332309098106,0.9515305900282061,410,20.5
0.23079436621159785,0.951809954711466,420,21.0
0.22873670448478822,0.9520804472191522,430,21.5
0.22658202172572556,0.952342585403128,440,22.0
0.22434125641800226,0.9525968434335752,450,22.5
0.2220246567427073,0.9528436564922833,460,23.0
0.21964183173210025,0.9530834248523656,470,23.5
0.2172017987685313,0.9533165174366882,480,24.0
0.21471302764473654,0.9535432749322512,490,24.5
0.21218348139427026,0.9537640125252684,500,25.0
0.2096206540915093,0.9539790223113014,510,25.5
0.20703160581002983,0.9541885754261726,520,26.0
0.2044229949167213,0.9543929239361881,530,26.5
0.20180110786712288,0.9545923025202133,540,27.0
0.19917188665544316,0.9547869299711482,550,27.5
0.19654095406076583,0.9549770105401807,560,28.0
0.19391363681922608,0.9551627351437008,570,28.5
0.19129498684061005,0.9553442824498477,580,29.0
0.18868980057699125,0.9555218198592013,590,29.5
0.18610263664078727,0.9556955043920747,600,30.0
0.18353783176008534,0.955865483493133,610,30.5
0.18099951515033663,0.9560318957625933,620,31.0
0.17849162137365657,0.9561948716220294,630,31.5
0.17601790175007132,0.9563545339217516,640,32.0
0.1735819343792224,0.9565109984958442,650,32.5
0.17118713282637046,0.9566643746701776,660,33.0
0.1688367535231225,0.9568147657280681,670,33.5
0.16653390193123374,0.9569622693376977,680,34.0
0.164281537517184,0.9571069779449302,690,34.5
0.16208247758606562,0.957248979134744,700,35.0
0.15993940002569226,0.9573883559641503,710,35.5
0.15785484501574867,0.9575251872691468,720,36.0
0.15583121576223463,0.9576595479479962,730,36.5
0.15387077832432053,0.9577915092228785,740,37.0
0.15197566060890555,0.9579211388817548,750,37.5
0.1501478506174326,0.9580485015021121,760,38.0
0.1483891940396074,0.9581736586580807,770,38.5
0.14670139129922774,0.9582966691122874,780,39.0
0.14508599416793597,0.9584175889936777,790,39.5
0.1435444020728705,0.9585364719624232,800,40.0
0.14207785823337082,0.9586533693629393,810,40.5
0.14068744576949627,0.9587683303659389,820,41.0
0.13937408393058898,0.9588814021003769,830,41.5
0.13813852459486015,0.9589926297760588,840,42.0
0.13698134919052757,0.9591020567976292,850,42.5
0.13590296618496148,0.9592097248705905,860,43.0
0.1349036092803363,0.9593156740999544,870,43.5
0.13398333644233312,0.9594199430820745,880,44.0
0.13314202987255846,0.9595225689901692,890,44.5
0.1323793970158242,0.9596235876540014,900,45.0
0.1316949726707493,0.9597230336341426,910,45.5
0.1310881222469465,0.959820940291223,920,46.0
0.13055804618518593,0.959917339850528,930,46.5
0.13010378552929666,0.9600122634622816,940,47.0
0.12972422861118907,0.9601057412579298,950,47.5
0.12941811878425144,0.96019780240271,960,48.0
0.12918406311644526,0.9602884751447732,970,48.5
0.1290205419335388,0.9603777868611084,980,49.0
0.12892591908575887,0.9604657641004933,990,49.5
0.12889845279820242,0.9605524326236852,1000,50.0
0.12893630695691496,0.9606378174410471,1010,50.5
0.12903756267867464,0.9607219428477902,1020,51.0
0.12920023001307732,0.9608048324569993,1030,51.5
0.129422259630175,0.9608865092305987,1040,52.0
0.12970155435518912,0.9609669955084017,1050,52.5
0.13003598042312328,0.9610463130353758,1060,53.0
0.13042337833976395,0.9611244829872515,1070,53.5
0.13086157325090375,0.9612015259945854,1080,54.0
0.1313483847379629,0.9612774621653863,1090,54.5
0.1318816359748935,0.9613523111064027,1100,55.0
0.13245916219775822,0.9614260919431651,1110,55.5
0.13307881845419028,0.9614988233388646,1120,56.0
0.13373848661469506,0.9615705235121511,1130,56.5
0.1344360816411359,0.961641210253921,1140,57.0
0.13516955711957887,0.9617109009431657,1150,57.5
0.13593691007483644,0.9617796125619407,1160,58.0
0.13673618509251673,0.9618473617095168,1170,58.5
0.13756547778118822,0.9619141646157683,1180,59.0
0.13842293761249083,0.961980037153845,1190,59.5
0.13930677018077428,0.9620449948521803,1200,60.0
0.1402152389262825,0.9621090529058749,1210,60.5
0.14114666636717524,0.9621722261875002,1220,61.0
0.142099434885954,0.9622345292573558,1230,61.5
0.14307198711530547,0.9622959763732188,1240,62.0
0.1440628259671433,0.9623565814996177,1250,62.5
0.14507051434686516,0.9624163583166581,1260,63.0
0.14609367459268083,0.9624753202284324,1270,63.5
0.14713098767741906,0.9625334803710375,1280,64.0
0.1481811922075936,0.9625908516202258,1290,64.5
0.14924308325177973,0.9626474465987102,1300,65.0
0.1503155110276019,0.9627032776831482,1310,65.5
0.15139737947390733,0.9627583570108212,1320,66.0
0.15248764473205262,0.9628126964860289,1330,66.5
0.15358531355769098,0.962866307786215,1340,67.0
0.15468944168203919,0.9629192023678419,1350,67.5
0.15579913213934757,0.9629713914720268,1360,68.0
0.1569135335751998,0.9630228861299548,1370,68.5
0.15803183854833666,0.9630736971680804,1380,69.0
0.15915328183692903,0.9631238352131312,1390,69.5
0.16027713875862218,0.9631733106969229,1400,70.0
0.16140272351222468,0.9632221338609984,1410,70.5
0.16252938754761195,0.9632703147610973,1420,71.0
0.163656517969259,0.9633178632714682,1430,71.5
0.1647835359777864,0.9633647890890317,1440,72.0
0.16590989535299772,0.963411101737399,1450,72.5
0.16703508098108955,0.9634568105707582,1460,73.0
0.1681586074280219,0.9635019247776309,1470,73.5
0.16928001756043712,0.9635464533845082,1480,74.0
0.17039888121499136,0.9635904052593709,1490,74.5
0.17151479391652433,0.9636337891151012,1500,75.0
0.17262737564511127,0.9636766135127877,1510,75.5
0.17373626965172398,0.9637188868649328,1520,76.0
0.1748411413219614,0.9637606174385646,1530,76.5
0.17594167708709,0.9638018133582578,1540,77.0
0.177037583381453,0.963842482609069,1550,77.5
0.17812858564516654,0.9638826330393884,1560,78.0
0.17921442737090176,0.9639222723637135,1570,78.5
0.1802948691934691,0.9639614081653463,1580,79.0
0.18136968802085546,0.9640000478990182,1590,79.5
0.1824386762053174,0.9640381988934457,1600,80.0
0.18350164075311023,0.9640758683538189,1610,80.5
0.18455840257141468,0.9641130633642268,1620,81.0
0.18560879575102443,0.9641497908900194,1630,81.5
0.1866526668833631,0.9641860577801131,1640,82.0
0.18768987441041662,0.9642218707692367,1650,82.5
0.1887202880061915,0.9642572364801234,1660,83.0
0.18974378798833652,0.9642921614256503,1670,83.5
0.1907602647585968,0.964326652010927,1680,84.0
0.19176961827081107,0.9643607145353339,1690,84.5
0.19277175752519451,0.9643943551945136,1700,85.0
0.1937666000876962,0.9644275800823164,1710,85.5
0.19475407163326094,0.9644603951927021,1720,86.0
0.1957341055118637,0.9644928064215962,1730,86.5
0.1967066423362361,0.9645248195687077,1740,87.0
0.19767162959023885,0.9645564403393045,1750,87.5
0.1986290212568841,0.9645876743459508,1760,88.0
0.19957877746504774,0.9646185271102048,1770,88.5
0.20052086415395878,0.9646490040642823,1780,89.0
0.20145525275458867,0.9646791105526824,1790,89.5
0.20238191988710416,0.9647088518337799,1800,90.0
0.20330084707359064,0.9647382330813823,1810,90.5
0.2042120204652789,0.9647672593862566,1820,91.0
0.2051154305835571,0.9647959357576215,1830,91.5
0.2060110720740741,0.9648242671246109,1840,92.0
0.20689894347327895,0.9648522583377053,1850,92.5
0.20777904698677133,0.9648799141701355,1860,93.0
0.20865138827886892,0.9649072393192568,1870,93.5
