x_mean,x_rms,p_rms,order_parameter,local_coherence_mean,residue_mean,mismatch_mean,step,time
0.03261503237935704,0.4770980398625978,0.525749125942323,0.06589069860827244,0.0022190912343028795,1.2499746962726258e-05,0.0004999972888174671,0,0.0
0.03133665445476255,0.46397489398701525,0.5373657783354874,0.08927730752428677,0.006361853023528758,0.0015121156047346903,0.005499299487764881,10,0.5
0.02238597140848674,0.4865241135043933,0.5170386521930899,0.12619336106085677,0.014647900383099266,0.005509321928424249,0.01049517752510581,20,1.0
0.007954422407210202,0.5217433870828712,0.4814753553658718,0.18373734411344625,0.03258415883273232,0.011999673265618332,0.015480521118543518,30,1.5
-0.008424646387664849,0.5377321905035782,0.4635501806623953,0.2708242988345014,0.07202859566478645,0.02097262966970702,0.02043615011377192,40,2.0
-0.022741068103904968,0.521488858273482,0.48175102314271495,0.3944065801733965,0.1539539894062945,0.03240178689160821,0.02531404470769464,50,2.5
-0.03148968376815187,0.4862291398121274,0.5173160543676444,0.546793074816898,0.29710524483785505,0.04622472375019338,0.03001542423331141,60,3.0
-0.03252852737982107,0.4639268995098496,0.5374072081081938,0.6963752393573921,0.48261424972188366,0.062318413641529874,0.034405090681937124,70,3.5
-0.025603253834757173,0.47734824756946087,0.5255219546929955,0.8250719426139215,0.6784364995535257,0.08049698845538238,0.03837405044767934,80,4.0
-0.012409411466818714,0.5125460294465398,0.4912547617347698,0.9315584579205335,0.8676374366429976,0.10052655760546536,0.04183640938183753,90,4.5
0.0038226872800455,0.5363960932537072,0.4650955850974889,0.9819349003900449,0.9653956210392629,0.12215450067514019,0.04483759662509108,100,5.0
0.019118858921042776,0.5290676110395004,0.47341539264211496,0.9942549924930518,0.9895738631807479,0.14519836225380678,0.04757316439442182,110,5.5
0.029734067553519563,0.49644494975280395,0.5075205235386884,0.9968858393598697,0.9944846668691513,0.16955581885911322,0.0501478986688966,120,6.0
0.03306934016370213,0.46702702755826897,0.534715274126944,0.997584496483371,0.9956792888561583,0.19515468689924376,0.052591305363711545,130,6.5
0.028308085794805975,0.47004387289459587,0.5320652453556148,0.9978295005768083,0.9960667144359938,0.22193170677200658,0.05491421609643792,140,7.0
0.016616025468406015,0.502334005196004,0.5016923498433468,0.9979321325651667,0.9962226791383608,0.2498278662856275,0.057123585709592375,150,7.5
0.0008557830475043459,0.5323922500088794,0.4696734585907508,0.997978320816235,0.9962922706127817,0.278787346869548,0.059225296547020426,160,8.0
-0.01511398485413523,0.5344645207978452,0.46731396350736304,0.9979992631608715,0.9963242103695211,0.30875716333067954,0.061224733508081323,170,8.5
-0.027383322491261596,0.5068917900463757,0.49708689036297155,0.9980083857797339,0.9963385918174166,0.33968695959824713,0.0631269393130389,180,9.0
-0.032948268419575946,0.47297042969452535,0.5294654237325045,0.9980119365999122,0.996344615535848,0.3715288534088004,0.0649366751486674,190,9.5
-0.030446329946408522,0.4652919993205012,0.536225714199265,0.9980129136028797,0.9963466900846716,0.4042373030727178,0.06665845288108413,200,10.0
-0.020490068822563972,0.4918839432375606,0.5119422296429218,0.9980127662651449,0.9963469640289915,0.43776898721231616,0.06829655597785193,210,10.5
-0.005517124773046349,0.5259838493440285,0.4768392278771249,0.9980121894107171,0.9963464846348141,0.47208269352001075,0.06985505503242413,220,11.0
0.010806603665777745,0.5373199798901983,0.4640279055515173,0.9980115068025335,0.9963457540206332,0.5071392145398257,0.0713378203930449,230,11.5
0.024484498870797792,0.5167483954962023,0.486832365993006,0.9980108599363063,0.9963450030371019,0.5429012493541295,0.07274853308912498,240,12.0
0.032167735413158594,0.481189646139853,0.5220068775222864,0.9980103019231924,0.9963443282414126,0.5793333104892779,0.07409069466038462,250,12.5
0.03197518923177348,0.46355324459471003,0.5377295268673626,0.9980098443689728,0.9963437610115807,0.6164016355773784,0.07536763620946486,260,13.0
0.02395400235935982,0.4820395720871711,0.5212221258617236,0.9980094807044707,0.9963433024940817,0.6540741034321271,0.07658252685532185,270,13.5
0.01006804090569928,0.5176036760417451,0.4859229229007274,0.9980091976264177,0.9963429411506587,0.6923201542649448,0.07773838169053712,280,14.0
-0.006282927812904251,0.5374477221837736,0.4638799384305211,0.9980089805178433,0.9963426613808162,0.7311107138084918,0.0788380693063992,290,14.5
-0.02109561680108185,0.5252834523266685,0.47761066254547113,0.9980088158329377,0.9963424475630568,0.7704181211408393,0.0798843189283042,300,15.0
-0.030743363560753773,0.49093468244105753,0.512852597486219,0.9980086919754658,0.9963422857633084,0.810216060021676,0.08087972719214283,310,15.5
-0.03286406346267832,0.46499977731804915,0.5364791283661883,0.9980085994559931,0.9963421642818928,0.8504794935655147,0.0818267645854924,320,16.0
-0.026938495278669268,0.4736456569505415,0.5288614550492284,0.9980085307292315,0.9963420736494245,0.8911846020877219,0.08272778157332224,330,16.5
-0.014417444629639745,0.5078403620236325,0.496117740653486,0.9980084799132478,0.9963420063869245,0.9323087239684565,0.08358501442532829,340,17.0
0.0016334989000093112,0.5348394777423712,0.4668847586355737,0.9980084424882697,0.9963419566893105,0.9738302993877577,0.08440059076027713,350,17.5
0.017284504935034417,0.5318949267219935,0.47023656879474207,0.9980084150189499,0.9963419201088415,1.0157288167924678,0.08517653482149877,360,18.0
0.028703661745625615,0.5013646791163188,0.5026610201174886,0.9980083949164671,0.9963418932718037,1.0579847619625664,0.08591477249671615,370,18.5
0.03309516178462978,0.4694882255398378,0.5325555816972859,0.9980083802433729,0.9963418736395749,1.1005795695509482,0.08661713609462739,380,19.0
0.029383812809551234,0.4674644540203432,0.5343328781307204,0.9980083695579476,0.9963418593143751,1.1434955769767732,0.08728536888998922,390,19.5
0.01847828241131296,0.4974146596828725,0.5065701290671271,0.9980083617924871,0.9963418488852025,1.1867159805583163,0.08792112944836024,400,20.0
0.003048624515715319,0.52966516797147,0.472746706043294,0.9980083561594999,0.996341841307806,1.2302247937767137,0.08852599574111598,410,20.5
-0.013127442875486318,0.5361349139852607,0.4653965955500363,0.9980083520802118,0.9963418358124099,1.2740068075672635,0.08910146906084196,420,21.0
-0.02608945471108667,0.5116327404493561,0.4922058257988677,0.9980083491305546,0.9963418318335155,1.318047552539898,0.0896489777467316,430,21.5
-0.03266385876155269,0.4765823003167487,0.526216634078947,0.9980083470006561,0.9963418289569396,1.3623332630352027,0.09016988072915909,440,22.0
-0.03124101180459373,0.4640840077475881,0.5372715027023426,0.9980083454646318,0.9963418268801292,1.4068508429268776,0.09066547090216627,450,22.5
-0.022169276380270744,0.4871416302448922,0.516456837356194,0.9980083443581745,0.9963418253825981,1.4515878330858414,0.09113697833218568,460,23.0
-0.007669729496156614,0.5222686997283381,0.48090543452970164,0.9980083435619982,0.9963418243040054,1.4965323804252881,0.0915855733109276,470,23.5
0.008707634434948255,0.5377241585602736,0.46355944590019155,0.9980083429896532,0.9963418235279693,1.5416732084499023,0.09201236925998019,480,24.0
0.02295306595102877,0.5209537793018008,0.48232954431626324,0.9980083425785861,0.9963418229701618,1.5869995892361752,0.09241842549431098,490,24.5
0.03157878695395601,0.4856177949072267,0.5178899358600463,0.9980083422835985,0.9963418225695746,1.6325013167742966,0.09280474985151246,500,25.0
0.03247292033935162,0.4638360825409462,0.5374855494199497,0.998008342072076,0.9963418222821335,1.6781686816054715,0.0931723011933056,510,25.5
0.025416551109796286,0.4778748925273429,0.5250430585206264,0.9980083419205119,0.9963418220760398,1.7239924466917187,0.09352199178550201,520,26.0
0.012137324391499003,0.5131581428105173,0.49061527247171066,0.998008341811984,0.9963418219283773,1.7699638244582723,0.09385468956232453,530,26.5
-0.004113542306992304,0.5365595381308866,0.4649069649537598,0.9980083417343206,0.9963418218226502,1.8160744549516084,0.09417122028070223,540,27.0
