step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00734323,0.00244746,28687,0.00367121,0.0356827,0.00977578,0.437729
100,5.86024,0.0102903,59620,0.129077,0.60445,0.0110822,0.909729
200,22.1092,0.0074714,58666,0.138981,0.716303,0.012459,0.895172
300,50.639,0.012408,59076,0.150022,0.699624,0.0136971,0.901428
400,90.9437,0.0126736,59477,0.159164,0.779505,0.0149446,0.907547
500,144.215,0.0142344,59879,0.165982,0.780361,0.016047,0.913681
600,206.893,0.0331068,60082,0.173841,0.783877,0.0172339,0.916779
700,257.967,0.00971151,60312,0.178613,0.748432,0.0182423,0.920288
800,361.02,0.014968,60628,0.184559,0.807152,0.0192466,0.92511
900,410.914,0.0249844,60870,0.189046,0.80673,0.0205491,0.928802
1000,539.088,0.0282183,61110,0.19236,0.798399,0.0214925,0.932465
1100,626.469,0.0521266,61343,0.19777,0.808322,0.0227355,0.93602
1200,812.721,0.0199449,61381,0.2025,0.780605,0.0240964,0.9366
1300,926.698,0.0415107,61628,0.205812,0.780551,0.0254793,0.940369
1400,1047.78,0.0480051,61793,0.208627,0.834679,0.0264888,0.942886
1500,1337.85,0.0933236,61948,0.211432,0.830487,0.0276982,0.945251
1600,1487.67,0.0157795,62211,0.217822,0.830835,0.028892,0.949265
1700,1938.8,0.116666,62276,0.217998,0.8375,0.029933,0.950256
1800,1897.07,0.105961,62373,0.220665,0.865501,0.0310055,0.951736
1900,1989.01,0.0280447,62490,0.223329,0.834181,0.0320072,0.953522
1999,2722.56,0.126489,62683,0.226052,0.824781,0.0329011,0.956467
