step,residue_coherence,orientation_alignment,corridor_count
0,0.000113359,0.00197777,0
100,0.011117,0.00221146,0
200,0.0268934,0.00246743,0
300,0.0580992,0.00305404,0
400,0.127949,0.00254143,0
500,0.306093,0.000960737,68
600,0.858623,0.000614368,59264
700,2.61659,0.000969183,65536
800,7.36794,0.000526129,65536
900,20.0471,0.00134261,65536
1000,54.267,0.00098842,65536
1100,146.797,0.000576195,65536
1200,397.064,0.00130272,65536
1300,1073.99,0.000392392,65536
1400,2904.94,0.000558357,65536
1500,7857.33,0.000857887,65536
1600,21252.6,0.000434889,65536
1700,57484.6,0.000567629,65536
1800,155484,0.000594159,65536
1900,420558,0.00132745,65536
1999,1.12627e+06,0.00041716,65536
