step,residue_coherence,orientation_alignment,corridor_count
0,0.000104092,0,0
100,0.0103656,0.000225936,0
200,0.0252959,0.000219507,0
300,0.0548441,0.000197433,0
400,0.120872,0.000139128,0
500,0.28899,3.43167e-05,31
600,0.808538,0.000228808,49303
700,2.44614,0.000158046,65536
800,6.91357,0.000173151,65536
900,18.8409,0.000183732,65536
1000,51.0126,0.000185634,65536
1100,137.999,0.000185843,65536
1200,373.269,0.000185866,65536
1300,1009.62,0.000185876,65536
1400,2730.84,0.000185875,65536
1500,7386.41,0.000185882,65536
1600,19978.9,0.000185892,65536
1700,54039.2,0.000185889,65536
1800,146166,0.00018589,65536
1900,395352,0.000185883,65536
1999,1.05877e+06,0.000185885,65536
