active_area,total_signal,max_signal,step
28.970999999999997,5.800000000000001,0.2,0
29.689794562570484,62.22868741640608,2.141196517448698,10
33.38841478510407,115.89858366703632,3.9238017197703168,20
39.607399113298996,166.94456569205772,5.482503312538977,30
46.97522115569679,215.4949163156292,6.80008255184788,40
54.10842104359085,261.67164663137333,7.892778199650779,50
62.062707213237786,305.59080262646347,8.798300832787417,60
69.99160752230918,347.36275681490025,9.555300631082464,70
77.65895105913475,387.0924856128745,10.194741305396303,80
86.20919235015455,424.87983315328563,10.740347665395184,90
94.85235017973741,460.8197622024014,11.210660723997094,100
103.01444309541645,495.0025928092366,11.619687317585171,110
111.31818427991142,527.5142292873932,11.977667818329621,120
119.99910169288918,558.4363760997882,12.292643900987741,130
128.78177175652152,587.8467431888071,12.571340395180314,140
137.37116792879544,615.8192412678899,12.819227913664145,150
145.73215043608107,642.42416756534,13.040624449755377,160
154.14220827547848,667.7283824871402,13.239016597321559,170
162.76804070205623,691.7954776427473,13.417326942992977,180
171.4186856433047,714.685935656129,13.578043682291426,190
179.85805035094205,736.4572821636576,13.72329050707458,200
188.10006921998843,757.164230380849,13.85487821505739,210
196.2937442005204,776.8588186012494,13.974347701733189,220
204.52292222877082,795.5905409730244,14.083015012950227,230
212.75615061173085,813.4064718818919,14.182018773713775,240
220.90563634341677,830.351384252994,14.27235825691984,250
228.9059988946093,846.467862069004,14.354915772937861,260
236.75439534603055,861.796407387238,14.43046902332553,270
244.4949260350559,876.375542124714,14.49970182199831,280
252.17111113393398,890.2419048669528,14.563216411552734,290
259.79173124219096,903.4303429438096,14.621546019746944,300
267.3329490507558,915.9740000037283,14.675165678067849,310
274.763200536303,927.9043993065054,14.724500668243984,320
282.0642733615956,939.2515229438786,14.769932939827127,330
289.23535368320233,950.0438871870322,14.811806056163288,340
296.2855631910959,960.3086141503718,14.850429190920963,350
303.22539515241215,970.0714999516695,14.886080639565872,360
310.0614652976116,979.3570795398641,14.919011155494909,370
316.7945471333905,988.188688353442,14.949447172967384,380
323.4203397116212,996.5885209643467,14.97759378353594,390
329.9321826087106,1004.577686854795,15.003637301019875,400
336.3242617767066,1012.176263467172,15.02774735394712,410
342.59374671728585,1019.403346660324,15.050078571179352,420
348.74101570166283,1026.2770986990502,15.070771989336192,430
354.7682803803325,1032.8147938973918,15.089956298025742,440
360.6777877260972,1039.0328620304324,15.107748988871917,450
366.4707421462727,1044.9469296236934,15.12425742783592,460
372.1473054897683,1050.5718592239034,15.139579845907122,470
377.70725098009575,1055.92178674982,15.153806238595337,480
383.150614100484,1061.0101570169768,15.167019169548949,490
388.4779444472739,1065.8497575256306,15.179294480031125,500
393.6901500190076,1070.4527505968185,15.190701910912408,510
398.7881616843748,1074.8307039372892,15.201305647241911,520
403.7726683045029,1078.9946197101171,15.21116479762754,530
408.64405623324853,1082.95496218406,15.220333821290675,540
413.4025405312573,1086.721684031141,15.228862914407117,550
418.04838293931317,1090.3042513385462,15.236798364469792,560
422.5820816340991,1093.7116673976952,15.244182877852836,570
427.0044659885101,1096.9524953302634,15.25105588265671,580
431.3166904284452,1100.0348796080254,15.257453807050492,590
435.52016110660134,1102.9665665205935,15.263410332866812,600
439.6164387227312,1105.7549236424907,15.268956624786526,610
443.6071499642274,1108.4069583484834,15.274121536469245,620
447.4939229418368,1110.9293354237002,15.278931795890601,630
451.27834837708866,1113.3283938127934,15.283412172616078,640
454.96196137200593,1115.6101625502388,15.28758562971793,650
458.54623722098904,1117.7803759118033,15.291473462657892,660
462.0325962668337,1119.8444878252594,15.295095426917863,670
465.4224149312231,1121.8076855765623,15.298469855642946,680
468.7170414335322,1123.6749028459344,15.301613768171762,690
471.91781500171646,1125.450832106615,15.304542970094866,700
475.02608689812655,1127.139936417439,15.307272145377576,710
478.04324093237324,1128.746460638877,15.309814941059878,720
480.97071084593625,1130.2744421007246,15.312184045056233,730
483.80999228453106,1131.7277207482525,15.31439125758996,740
486.56264796481776,1133.1099487923057,15.316447556794529,750
489.2303058168784,1134.4245998876188,15.318363158994726,760
491.8146510078181,1135.6749778623987,15.320147574148718,770
494.31741356178725,1136.8642250211233,15.321809656893318,780
496.7403536631098,1137.9953300414136,15.323357653594883,790
499.08524667528343,1139.0711354848327,15.324799245769714,800
501.35386953710935,1140.094344940479,15.326141590201892,810
503.5479896544095,1141.0675298193323,15.32739135605276,820
505.66935683007614,1141.9931358164256,15.32855475922444,830
507.7196982694943,1142.873489057081,15.329637594209858,840
509.70071632122784,1143.710801942657,15.33064526363368,850
511.6140883826828,1144.5071787104976,15.331582805663567,860
513.4614683063028,1145.2646207220587,15.332454919449349,870
515.244488655683,1145.9850314924943,15.333265988730076,880
516.9647632482302,1146.6702214743527,15.334020103735051,890
518.6238895481567,1147.3219126073918,15.334721081494871,900
520.2234506127959,1147.94174264596,15.335372484671234,910
521.7650164261802,1148.5312692748091,15.335977639009045,920
523.250144563917,1149.0919740236868,15.336539649510307,930
524.6803802167852,1149.625265990545,15.337061415425431,940
526.0572556563558,1150.1324853827196,15.337545644153632,950
527.3822892570407,1150.6149068849852,15.33799486413947,960
528.6569841998935,1151.073742862945,15.338411436847318,970
529.8828269795357,1151.5101464098047,15.338797567889639,980
531.0612858219205,1151.9252142441937,15.339155317378705,990
