order_parameter,local_coherence_mean,step,time
0.08233532190605759,0.4077572139601846,0,0.0
0.15215313674023942,0.5391766406587915,10,0.5
0.2128849248514563,0.6323280604520156,20,1.0
0.2672085220616537,0.7077232910124703,30,1.5
0.31795512297319134,0.7772541053578975,40,2.0
0.3490222945548827,0.829578337069523,50,2.5
0.3573925364733798,0.8604684211350222,60,3.0
0.35577868106343125,0.8795260112187031,70,3.5
0.3503578399436945,0.8929612548138337,80,4.0
0.3432523247431619,0.9033343190592915,90,4.5
0.335324107933875,0.9117025935792488,100,5.0
0.3270089219264312,0.9186148949659141,110,5.5
0.31855912396902925,0.9244107555689735,120,6.0
0.3101314979680258,0.9293232275980392,130,6.5
0.3018262710318542,0.9335227295613199,140,7.0
0.2937075496702374,0.9371390584293805,150,7.5
0.2858153075465071,0.9402737876580325,160,8.0
0.2781729454040458,0.9430078864891513,170,8.5
0.2707923004985624,0.9454067383408475,180,9.0
0.2636770911320728,0.9475236336507149,190,9.5
0.2568253533926948,0.9494023079382211,200,10.0
0.25023120168260116,0.9510788476308288,210,10.5
0.2438861191056693,0.9525831567588977,220,11.0
0.2377799110259401,0.9539401064999095,230,11.5
0.23190141138256995,0.955170448465308,240,12.0
0.22623900413299702,0.9562915477058227,250,12.5
0.22078100464874745,0.9573179755826681,260,13.0
0.21551593416210846,0.9582619921572376,270,13.5
0.21043271224378898,0.9591339405227801,280,14.0
0.20552078647983751,0.9599425703549795,290,14.5
0.20077021422810373,0.9606953041912236,300,15.0
0.1961717080893709,0.9613984571267461,310,15.5
0.19171665422247977,0.96205741846226,320,16.0
0.1873971106690058,0.9626768021686013,330,16.5
0.18320579129857067,0.963260571724089,340,17.0
0.1791360397479621,0.9638121438419474,350,17.5
0.1751817967387036,0.9643344747752145,360,18.0
0.17133756336815686,0.9648301322187177,370,18.5
0.16759836233974035,0.9653013552873343,380,19.0
0.1639596985976851,0.9657501046105682,390,19.5
0.1604175204362633,0.9661781042251603,400,20.0
0.15696818184262093,0.9665868766542401,410,20.5
0.1536084065899255,0.9669777723209553,420,21.0
0.15033525441013815,0.9673519942467388,430,21.5
0.14714608943243773,0.9677106188214388,440,22.0
0.14403855096521925,0.9680546132981591,450,22.5
0.14101052661939764,0.9683848505546436,460,23.0
0.13806012771254708,0.9687021215712494,470,23.5
0.13518566685242192,0.9690071459995784,480,24.0
0.13238563757077523,0.9693005811328941,490,24.5
