particle_id,gap,time_s,phase_rad,energy_ev
7048,rf_gap_01,2.310000000000039e-09,4.473627938711914,999518.5172671197
6669,rf_gap_01,2.3160000000000396e-09,4.48116776108053,979453.7761713593
6737,rf_gap_01,2.340000000000042e-09,4.511327050554995,1020883.2103623928
2185,rf_gap_01,2.372000000000045e-09,4.551539436520949,993076.40598166
3397,rf_gap_01,2.400000000000048e-09,4.586725274241158,994386.0710202176
8240,rf_gap_01,2.402000000000048e-09,4.58923854836403,1030125.6498037926
3956,rf_gap_01,2.412000000000049e-09,4.60180491897839,985928.1718017978
7593,rf_gap_01,2.4180000000000498e-09,4.609344741347007,981310.8469845696
5281,rf_gap_01,2.4240000000000504e-09,4.616884563715622,998548.2161198802
1177,rf_gap_01,2.4280000000000508e-09,4.621911111961367,997663.2195735063
2455,rf_gap_01,2.4280000000000508e-09,4.621911111961367,1004507.3468391302
1817,rf_gap_01,2.432000000000051e-09,4.626937660207112,985305.1148268321
8091,rf_gap_01,2.432000000000051e-09,4.626937660207112,999832.599131382
496,rf_gap_01,2.440000000000052e-09,4.6369907566986,1008919.4219325273
6287,rf_gap_01,2.4480000000000528e-09,4.6470438531900875,982703.3177737098
828,rf_gap_01,2.452000000000053e-09,4.652070401435832,1018425.2410612319
7159,rf_gap_01,2.452000000000053e-09,4.652070401435832,1002390.8169891535
8513,rf_gap_01,2.452000000000053e-09,4.652070401435832,1001822.9485727572
8033,rf_gap_01,2.460000000000054e-09,4.66212349792732,998243.8722750443
4035,rf_gap_01,2.462000000000054e-09,4.6646367720501924,1001102.0060447127
4087,rf_gap_01,2.4660000000000546e-09,4.669663320295937,1001634.9739599511
132,rf_gap_01,2.472000000000055e-09,4.677203142664553,988136.5969212546
6947,rf_gap_01,2.472000000000055e-09,4.677203142664553,1012291.0646675266
6651,rf_gap_01,2.4760000000000556e-09,4.682229690910297,984202.3310875247
1194,rf_gap_01,2.4840000000000564e-09,4.692282787401785,1004259.5142180684
3233,rf_gap_01,2.4860000000000566e-09,4.694796061524658,994049.6320352895
6641,rf_gap_01,2.4860000000000566e-09,4.694796061524658,1013013.2620587577
7906,rf_gap_01,2.4860000000000566e-09,4.694796061524658,993426.7810889409
101,rf_gap_01,2.4880000000000568e-09,4.69730933564753,1000137.3220551732
1109,rf_gap_01,2.490000000000057e-09,4.699822609770402,989312.4655798327
6798,rf_gap_01,2.490000000000057e-09,4.699822609770402,1002330.7374277473
5043,rf_gap_01,2.4940000000000574e-09,4.704849158016145,1013252.7394609768
5890,rf_gap_01,2.4940000000000574e-09,4.704849158016145,995652.5145214571
3726,rf_gap_01,2.4960000000000576e-09,4.707362432139018,984208.4924172468
9742,rf_gap_01,2.500000000000058e-09,4.7123889803847625,1002914.4903677341
