step,residue_coherence,orientation_alignment,corridor_count
0,0.000113389,0.00162087,0
100,0.0111192,0.00178494,0
200,0.0269096,0.00202308,0
300,0.0581788,0.00178729,0
400,0.12842,0.000906193,0
500,0.309228,0.00067889,2003
600,0.87426,0.00167127,52814
700,2.64218,0.0018466,65536
800,7.43574,0.00177421,65536
900,20.241,0.00178857,65536
1000,54.7959,0.00179106,65536
1100,148.23,0.00179114,65536
1200,400.942,0.00179116,65536
1300,1084.46,0.00179117,65536
1400,2933.28,0.00179118,65536
1500,7934.05,0.00179117,65536
1600,21459.9,0.00179118,65536
1700,58044.9,0.00179117,65536
1800,157002,0.00179118,65536
1900,424660,0.00179118,65536
1999,1.13726e+06,0.00179118,65536
