x_mean,x_rms,p_rms,order_parameter,residue_mean,mismatch_mean,step,time
-0.010273128804159865,5.013260192188846,0.09488886405106461,0.07197654186864508,1.2489736621338323e-05,0.0004993859786413062,0,0.0
-0.00915789945166371,5.016483357282488,0.09488886405106461,0.08061991786046008,0.0014923535382054649,0.00538146897976614,10,0.5
-0.008042670099167237,5.020152860367846,0.09488886405106461,0.08304071982085207,0.005348478101038908,0.010007632749683915,20,1.0
-0.006927440746671083,5.024267723488389,0.09488886405106461,0.0833305910920195,0.011455136537466905,0.014398284342801002,30,1.5
-0.005812211394174751,5.028826853389903,0.09488886405106461,0.08335610006438937,0.019699050331031424,0.01857331948809178,40,2.0
-0.004696982041678704,5.0338290429576595,0.09488886405106461,0.08335822734867361,0.029974460545966742,0.02254456528793469,50,2.5
-0.0035817526891821936,5.0392729727941035,0.09488886405106461,0.0833584035563768,0.04218103952300216,0.02632211337840557,60,3.0
-0.0024665233366860397,5.045157212932285,0.09488886405106461,0.08335841847891078,0.05622338372855165,0.029915426506959063,70,3.5
-0.0013512939841897787,5.051480224679956,0.09488886405106461,0.08335841984433788,0.07201074625236842,0.033333491510885056,80,4.0
-0.00023606463169365989,5.058240362588861,0.09488886405106461,0.08335841998930874,0.08945680688015953,0.03658485549912226,90,4.5
0.0008791647208028497,5.065435876543497,0.09488886405106461,0.08335842000986814,0.10847945592216536,0.03967764859228601,100,5.0
0.001994394073298933,5.073064913963287,0.09488886405106461,0.0833584200142841,0.1290005888355702,0.042619604386044355,110,5.5
0.003109623425795336,5.081125522111919,0.09488886405106461,0.08335842001570506,0.15094591088802173,0.04541807930256627,120,6.0
0.004224852778291384,5.089615650507352,0.09488886405106461,0.08335842001633058,0.17424475135034104,0.04808007098686098,130,6.5
0.005340082130787893,5.098533153425803,0.09488886405106461,0.08335842001665733,0.1988298867514473,0.050612235804725986,140,7.0
0.006455311483283905,5.107875792492924,0.09488886405106461,0.0833584200168748,0.22463737275328532,0.053020905487159355,150,7.5
0.007570540835780237,5.117641239355179,0.09488886405106461,0.08335842001703739,0.2516063842253145,0.05531210296298969,160,8.0
0.008685770188276215,5.127827078424433,0.09488886405106461,0.08335842001715223,0.2796790631186585,0.05749155741933846,170,8.5
0.009800999540772688,5.138430809688631,0.09488886405106461,0.08335842001723427,0.30880037375952296,0.05956471862757461,180,9.0
0.010916228893268593,5.149449851581458,0.09488886405106461,0.08335842001729214,0.3389179652000358,0.06153677057058088,190,9.5
0.012031458245765032,5.160881543903882,0.09488886405106461,0.08335842001733863,0.36998204028231707,0.06341264440541167,200,10.0
0.013146687598261044,5.172723150790457,0.09488886405106461,0.08335842001737216,0.4019452310883688,0.0651970307937527,210,10.5
0.014261916950757448,5.184971863713424,0.09488886405106461,0.08335842001739983,0.4347624804643464,0.06689439163102104,220,11.0
0.015377146303253424,5.197624804517599,0.09488886405106461,0.08335842001742182,0.46839092932295906,0.06850897120342558,230,11.5
0.01649237565574979,5.2106790284792845,0.09488886405106461,0.0833584200174384,0.5027898094421974,0.0700448068008942,240,12.0
0.01760760500824591,5.224131527382467,0.09488886405106461,0.08335842001745257,0.5379203414923296,0.07150573881240202,250,12.5
0.01872283436074256,5.2379792326057935,0.09488886405106461,0.08335842001746395,0.5737456380361778,0.07289542032894322,260,13.0
0.019838063713238718,5.252219018213933,0.09488886405106461,0.0833584200174734,0.6102306112601301,0.07421732627816209,270,13.5
0.020953293065735224,5.266847704047189,0.09488886405106461,0.08335842001748037,0.6473418852051614,0.07547476211348153,280,14.0
0.022068522418231307,5.281862058803372,0.09488886405106461,0.08335842001748661,0.6850477122783993,0.07667087207945919,290,14.5
0.023183751770727856,5.297258803106237,0.09488886405106461,0.08335842001749157,0.72331789383647,0.07780864707403577,300,15.0
0.02429898112322408,5.3130346125549455,0.09488886405106461,0.08335842001749527,0.762123704642038,0.07889093212733829,310,15.5
0.02541421047572041,5.329186120749367,0.09488886405106461,0.08335842001749891,0.8014378210046462,0.07992043351573719,320,16.0
0.02652943982821646,5.345709922286184,0.09488886405106461,0.08335842001750227,0.8412342524261686,0.08089972552894681,330,16.5
0.027644669180713004,5.362602575721109,0.09488886405106461,0.0833584200175053,0.881488276579951,0.08183125690709053,340,17.0
0.028759898533209195,5.3798606064927785,0.09488886405106461,0.08335842001750816,0.9221763774610601,0.08271735696382676,350,17.5
0.029875127885705562,5.39748050980413,0.09488886405106461,0.08335842001751011,0.963276186552979,0.08356024141084598,360,18.0
