inscription_kappa,valve_pressure_u,seed,mismatch_E,geometry_R,valve_throughput_A
0.1,0.0,100,0.3218512622870387,0.0059168447117146075,0.38671875
0.1,0.3,100,0.32202077307531607,0.0059179620760430275,0.38671875
0.6,0.0,100,0.3218571538589678,0.03550124338091187,0.38671875
0.6,0.3,100,0.3228746587710868,0.035541479215162916,0.38671875
0.1,0.0,200,0.3218512622870387,0.0059168447117146075,0.38671875
0.1,0.3,200,0.32202077307531607,0.0059179620760430275,0.38671875
0.6,0.0,200,0.3218571538589678,0.03550124338091187,0.38671875
0.6,0.3,200,0.3228746587710868,0.035541479215162916,0.38671875
0.1,0.0,300,0.3218512622870387,0.0059168447117146075,0.38671875
0.1,0.3,300,0.32202077307531607,0.0059179620760430275,0.38671875
0.6,0.0,300,0.3218571538589678,0.03550124338091187,0.38671875
0.6,0.3,300,0.3228746587710868,0.035541479215162916,0.38671875
0.1,0.0,400,0.3218512622870387,0.0059168447117146075,0.38671875
0.1,0.3,400,0.32202077307531607,0.0059179620760430275,0.38671875
0.6,0.0,400,0.3218571538589678,0.03550124338091187,0.38671875
0.6,0.3,400,0.3228746587710868,0.035541479215162916,0.38671875
0.1,0.0,500,0.3218512622870387,0.0059168447117146075,0.38671875
0.1,0.3,500,0.32202077307531607,0.0059179620760430275,0.38671875
0.6,0.0,500,0.3218571538589678,0.03550124338091187,0.38671875
0.6,0.3,500,0.3228746587710868,0.035541479215162916,0.38671875
