inscription_kappa,valve_pressure_u,E_mean,R_mean,A_mean,A_std
0.1,0.0,0.3218512622870387,0.0059168447117146075,0.38671875,0.0
0.1,0.3,0.32202077307531607,0.0059179620760430275,0.38671875,0.0
0.6,0.0,0.3218571538589678,0.03550124338091187,0.38671875,0.0
0.6,0.3,0.3228746587710868,0.035541479215162916,0.38671875,0.0
