step,active_count,mean_residue
0,1000,1.0
1,688,2.0
2,557,3.0
3,497,4.0
4,457,5.0
5,457,6.0
6,457,7.0
7,457,8.0
8,457,9.0
9,457,10.0
10,457,11.0
11,457,12.0
12,457,13.0
13,457,14.0
14,457,15.0
15,457,16.0
16,457,17.0
17,457,18.0
18,457,19.0
19,457,20.0
20,457,21.0
21,457,22.0
22,457,23.0
23,457,24.0
24,457,25.0
25,457,26.0
26,457,27.0
27,457,28.0
28,457,29.0
29,457,30.0
30,457,31.0
31,457,32.0
32,457,33.0
33,457,34.0
34,457,35.0
35,457,36.0
36,457,37.0
37,457,38.0
38,457,39.0
39,457,40.0
40,457,41.0
41,457,42.0
42,457,43.0
43,457,44.0
44,457,45.0
45,457,46.0
46,457,47.0
47,457,48.0
48,457,49.0
49,457,50.0
50,457,51.0
51,457,52.0
52,457,53.0
53,457,54.0
54,457,55.0
55,457,56.0
56,457,57.0
57,457,58.0
58,457,59.0
59,457,60.0
60,457,61.0
61,457,62.0
62,457,63.0
63,457,64.0
64,457,65.0
65,457,66.0
66,457,67.0
67,457,68.0
68,457,69.0
69,457,70.0
70,457,71.0
71,457,72.0
72,457,73.0
73,457,74.0
74,457,75.0
75,457,76.0
76,457,77.0
77,457,78.0
78,457,79.0
79,457,80.0
80,457,81.0
81,457,82.0
82,457,83.0
83,457,84.0
84,457,85.0
85,457,86.0
86,457,87.0
87,457,88.0
88,457,89.0
89,457,90.0
90,457,91.0
91,457,92.0
92,457,93.0
93,457,94.0
94,457,95.0
95,457,96.0
96,457,97.0
97,457,98.0
98,457,99.0
99,457,100.0
