step,time,active_area,total_signal,max_signal,activation_events,inadmissible_activation_count,inadmissible_activation_fraction,signal_outside_domain_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean,admissible_area_fraction,signal_active_fraction
0,0.0,28.651999999999997,5.800000000000001,0.2,29,0,0.0,0.0,0,0.0,0.0,0.007080078125,0.007080078125
1,0.1,28.302153020000002,11.597100000000001,0.39990000000000003,20,20,1.0,0.0356778849884885,20,1.0,0.0,0.007080078125,0.011962890625
2,0.2,27.959599475764037,17.39130145,0.59970005,24,24,1.0,0.06421199046339456,24,1.0,0.0,0.007080078125,0.017822265625
3,0.30000000000000004,27.63211572810947,23.182605799275002,0.799400199975,0,0,0.0,0.0877438087932624,0,0.0,0.0,0.007080078125,0.017822265625
4,0.4,27.326228428803958,28.971014496375364,0.9973967449636046,0,0,0.0,0.10759346270728652,0,0.0,0.0,0.007080078125,0.017822265625
5,0.5,27.047283544583767,34.756528989127176,1.1924978312950616,0,0,0.0,0.1246492247637811,0,0.0,0.0,0.007080078125,0.017822265625
6,0.6000000000000001,26.799519752272097,40.53915072463261,1.3839549737081438,0,0,0.0,0.1395367323003006,0,0.0,0.0,0.007080078125,0.017822265625
7,0.7000000000000001,26.58615764854736,46.3188811492703,1.5713797421340963,0,0,0.0,0.1527120689859604,0,0.0,0.0,0.007080078125,0.017822265625
8,0.8,26.40950210329411,52.09572170869566,1.7546320084809905,8,8,1.0,0.16451692061576964,8,1.0,0.0,0.007080078125,0.019775390625
9,0.9,26.271051826521678,57.86967384784131,1.9337282555990187,0,0,0.0,0.17521238859495397,0,0.0,0.0,0.007080078125,0.019775390625
10,1.0,26.171610300444662,63.6407390109174,2.108775334967332,8,8,1.0,0.1850023829742445,8,1.0,0.0,0.007080078125,0.021728515625
11,1.1,26.111393546378288,69.40891864141193,2.279925934831883,0,0,0.0,0.1940476281855774,0,0.0,0.0,0.007080078125,0.021728515625
12,1.2000000000000002,26.090131769806902,75.17421418209123,2.4473502318189335,8,8,1.0,0.09729238031710934,8,1.0,0.0,0.007080078125,0.023681640625
13,1.3,26.10716332907515,80.93662707500019,2.6112188164057284,4,4,1.0,0.10225969091822534,4,1.0,0.0,0.009033203125,0.024658203125
14,1.4000000000000001,26.161520532982998,86.6961587614627,2.771693134288794,0,0,0.0,0.10711971242271404,0,0.0,0.0,0.009033203125,0.024658203125
15,1.5,26.25200745334084,92.45281068208196,2.928920762064834,0,0,0.0,0.11190320575309451,0,0.0,0.0,0.009033203125,0.024658203125
16,1.6,26.37727027217619,98.20658427674093,3.0830336787726127,0,0,0.0,0.1166368032600041,0,0.0,0.0,0.009033203125,0.024658203125
17,1.7000000000000002,26.53586073384049,103.95748098460257,3.2341483053701285,0,0,0.0,0.12134383543935856,0,0.0,0.0,0.009033203125,0.024658203125
18,1.8,26.726293115508604,109.70550224411025,3.382366508120918,0,0,0.0,0.12604491391875994,0,0.0,0.0,0.009033203125,0.024658203125
19,1.9000000000000001,26.947094842047683,115.45064949298818,3.5277770492019735,0,0,0.0,0.1307583707572164,0,0.0,0.0,0.009033203125,0.024658203125
20,2.0,27.196850524816256,121.19292416824169,3.6704571600626554,0,0,0.0,0.13550058820584268,0,0.0,0.0,0.009033203125,0.024658203125
21,2.1,27.47423886320358,126.9323277061576,3.8104740409632383,0,0,0.0,0.14028624212906426,0,0.0,0.0,0.009033203125,0.024658203125
22,2.2,27.77806156872351,132.6688615423045,3.9478861753514876,0,0,0.0,0.1451284749757879,0,0.0,0.0,0.009033203125,0.024658203125
