mechanism,resolution_param,forcing_s,seed,alignment_success_rate,epsilon_max,residue_max,output_dir
pde_reaction_diffusion,128,0.08,43,0.3515625,0.29768992080866036,0.04949164397150186,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.08_seed_43
pde_reaction_diffusion,128,0.08,44,0.3515625,0.29768992080866036,0.04949164397150186,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.08_seed_44
pde_reaction_diffusion,128,0.1,42,0.3671875,0.30101220016655456,0.04988925114381138,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.1_seed_42
pde_reaction_diffusion,128,0.1,43,0.3671875,0.30101220016655456,0.04988925114381138,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.1_seed_43
pde_reaction_diffusion,128,0.1,44,0.3671875,0.30101220016655456,0.04988925114381138,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.1_seed_44
pde_reaction_diffusion,128,0.12,42,0.3671875,0.30432677796945434,0.05028643031876033,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.12_seed_42
pde_reaction_diffusion,128,0.12,43,0.3671875,0.30432677796945434,0.05028643031876033,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.12_seed_43
pde_reaction_diffusion,128,0.12,44,0.3671875,0.30432677796945434,0.05028643031876033,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.12_seed_44
pde_reaction_diffusion,128,0.15,42,0.3984375,0.3092842698590826,0.050881399433904,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.15_seed_42
pde_reaction_diffusion,128,0.15,43,0.3984375,0.3092842698590826,0.050881399433904,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.15_seed_43
pde_reaction_diffusion,128,0.15,44,0.3984375,0.3092842698590826,0.050881399433904,outputs\runs\research_resolution_threshold_2026-05-03\jobs\pde_nx_128_s_0.15_seed_44
