resolution_param,coupling_kappa,order_parameter
100,0.4,0.3453546748327447
100,0.6,0.4655024560034699
100,0.8,0.5278643525352213
400,0.4,0.3024457841977882
400,0.6,0.2270617106335969
400,0.8,0.22918174835665106
1600,0.4,0.034952626761431786
1600,0.6,0.03588910786793838
1600,0.8,0.03581186847278495
