step,active_count,mean_residue
0,1000,1.0
1,1000,2.0
2,684,3.0
3,348,4.0
4,307,5.0
5,307,6.0
6,307,7.0
7,307,8.0
8,307,9.0
9,307,10.0
10,307,11.0
11,307,12.0
12,307,13.0
13,307,14.0
14,307,15.0
15,307,16.0
16,307,17.0
17,307,18.0
18,307,19.0
19,307,20.0
20,307,21.0
21,307,22.0
22,307,23.0
23,307,24.0
24,307,25.0
25,307,26.0
26,307,27.0
27,307,28.0
28,307,29.0
29,307,30.0
30,307,31.0
31,307,32.0
32,307,33.0
33,307,34.0
34,307,35.0
35,307,36.0
36,307,37.0
37,307,38.0
38,307,39.0
39,307,40.0
40,307,41.0
41,307,42.0
42,307,43.0
43,307,44.0
44,307,45.0
45,307,46.0
46,307,47.0
47,307,48.0
48,307,49.0
49,307,50.0
50,307,51.0
51,307,52.0
52,307,53.0
53,307,54.0
54,307,55.0
55,307,56.0
56,307,57.0
57,307,58.0
58,307,59.0
59,307,60.0
60,307,61.0
61,307,62.0
62,307,63.0
63,307,64.0
64,307,65.0
65,307,66.0
66,307,67.0
67,307,68.0
68,307,69.0
69,307,70.0
70,307,71.0
71,307,72.0
72,307,73.0
73,307,74.0
74,307,75.0
75,307,76.0
76,307,77.0
77,307,78.0
78,307,79.0
79,307,80.0
80,307,81.0
81,307,82.0
82,307,83.0
83,307,84.0
84,307,85.0
85,307,86.0
86,307,87.0
87,307,88.0
88,307,89.0
89,307,90.0
90,307,91.0
91,307,92.0
92,307,93.0
93,307,94.0
94,307,95.0
95,307,96.0
96,307,97.0
97,307,98.0
98,307,99.0
99,307,100.0
