x_mean,x_rms,order_parameter,residue_mean,mismatch_mean
0.0009409857487084796,0.4811609400961333,0.006935626290108752,9.95467486439498e-06,0.0009961344601364381
0.0013052648890696837,0.48116506803088055,0.006985676772830632,3.979238001162275e-05,0.0019922825649654322
0.0016692307721229806,0.4812755125009861,0.007036598265973891,8.947364348105589e-05,0.0029884426894346235
0.002032796047803503,0.48149209438758495,0.007084840100862881,0.00015895905464428855,0.003984614968785685
0.002395873462190316,0.4818144628441948,0.007132829963859423,0.0002482092901196523,0.004980798793723397
0.0027583758784467806,0.4822420966518418,0.007204061972262104,0.00035718506429581107,0.005976992340428619
0.003120216297733073,0.482774306222616,0.0072552198963318874,0.0004858471729435072,0.006973196438959514
0.003481307880085483,0.4834102362327941,0.007308804749710313,0.0006341564891064099,0.007969411389868546
0.003841563965257552,0.4841488688610033,0.012659702532220905,0.0008021001351148307,0.008970850201289801
0.00420089809351813,0.4849890276016013,0.02861794393776871,0.000989847117428404,0.009985278561178184
0.004559224026401319,0.4859293816187323,0.028838982669723554,0.0011975904994090821,0.011007491574533356
0.004916455767403253,0.4869684506023077,0.02882513633784166,0.001425343399825634,0.012029736815403645
0.005272507582620858,0.4881046100836211,0.029053805010793507,0.0016730652092533348,0.013051972115810152
0.005627294021327634,0.48933609716543225,0.02927711814340548,0.0019407174481827893,0.014074318341461754
0.005980729936481312,0.49066101661912614,0.029500674733365675,0.002228262566219848,0.015096781490124807
0.006332730505158805,0.4920773473000975,0.029732965952049297,0.0025356631462309506,0.016119358690159763
0.00668321124891333,0.49358294883165754,0.02995113099868651,0.0028628817578406265,0.017142046000578618
0.007032088054048723,0.49517556850763544,0.029937226622122906,0.0032098805409462453,0.018164759062680468
0.007379277191806468,0.49685284836431626,0.03015529365026868,0.003576619359390268,0.019187463892983606
0.007724695338460062,0.498612332373411,0.0303760938954474,0.003963060138558845,0.020210273011580328
0.008068259595312368,0.5004514737093542,0.03059409911595568,0.0043691656627877,0.021233195055462104
0.008409887508590943,0.502367642046259,0.030811522336444623,0.004794898798538386,0.022256215892214968
0.008749497089236452,0.5043581308423217,0.03105345714066325,0.005240222247609591,0.023279332477511013
0.00908700683257977,0.5064201645722343,0.03126599155959321,0.005705098774166953,0.024302547999178935
0.009422335737902543,0.5085509058712117,0.04701045062395386,0.006189516229057645,0.02533080992436624
