step,residue_coherence,orientation_alignment,corridor_count
0,3.13229e-06,0.000705698,0
100,0.000153653,0.000727367,0
200,0.000200745,0.000757059,0
300,0.000248894,0.000780141,0
400,0.000295638,0.000797721,0
500,0.000331461,0.000814608,0
600,0.000354504,0.000833086,0
700,0.000367021,0.000853607,0
800,0.000371954,0.000875924,0
900,0.000371713,0.00089969,0
1000,0.000368028,0.000924583,0
1100,0.000362072,0.00095031,0
1200,0.000354635,0.000976585,0
1300,0.000346251,0.00100314,0
1400,0.00033728,0.00102967,0
1500,0.000327975,0.00105596,0
1600,0.0003185,0.00108177,0
1700,0.000308988,0.00110693,0
1800,0.000299521,0.00113127,0
1900,0.00029016,0.00115469,0
1999,0.000281039,0.0011769,0
