step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00160161,0.000942341,6708,0.00160054,0.0357842,0.00398144,0.102356
100,0.324473,0.00441567,40010,0.0956073,0.788491,0.00457286,0.610504
200,1.1742,0.00572352,49700,0.172278,0.86828,0.00534008,0.758362
300,2.33697,0.00206473,51643,0.213161,0.943347,0.00622647,0.78801
400,3.37375,0.00208848,52495,0.237117,1.01825,0.00686508,0.80101
500,4.21474,0.00245716,52904,0.253712,0.936673,0.00770135,0.807251
600,4.87792,0.00195875,53187,0.266764,1.03966,0.00842992,0.811569
700,5.43028,0.00330539,53480,0.273174,1.00029,0.00928579,0.81604
800,5.88747,0.00431683,53822,0.281572,1.03752,0.0101841,0.821259
900,6.38635,0.00427587,54156,0.291375,1.08831,0.0110588,0.826355
1000,6.70926,0.00730189,54326,0.294308,1.05256,0.0118223,0.828949
1100,7.11082,0.00673608,54545,0.302567,1.00832,0.0125076,0.832291
1200,7.52524,0.0034813,54715,0.308204,1.07077,0.0130389,0.834885
1300,7.85077,0.00459612,55057,0.312188,1.05785,0.0139047,0.840103
1400,8.17386,0.00490634,55277,0.316023,1.05954,0.0148278,0.84346
1500,8.56173,0.00442556,55573,0.321892,1.09094,0.0155419,0.847977
1600,9.02801,0.00538361,55728,0.328776,1.07565,0.0162948,0.850342
1700,9.33753,0.00282646,55860,0.331371,1.08063,0.0168618,0.852356
1800,9.87462,0.00169386,56069,0.336086,1.09446,0.0174686,0.855545
1900,10.16,0.00103415,56240,0.339077,1.07785,0.0180864,0.858154
1999,10.5991,0.00653107,56547,0.343169,1.11691,0.0185379,0.862839
