step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,5.99454e-06,0.0021795,0,0,0
100,0.000205353,0.00217853,65536,0,0
200,0.000242698,0.0021779,65536,0,0
300,0.000241015,0.00217756,65536,0,0
400,0.000232016,0.00217741,65536,0,0
500,0.000222522,0.00217737,65536,0,0
600,0.000213605,0.00217734,65536,0,0
700,0.00020526,0.00217736,65536,0,0
800,0.000197372,0.00217741,65536,0,0
900,0.000189865,0.00217742,65536,0,0
1000,0.000182694,0.00217745,65536,0,0
1100,0.000175836,0.00217749,65536,0,0
1200,0.000169265,0.00217747,65536,0,0
1300,0.000162972,0.00217751,65536,0,0
1400,0.000156936,0.00217751,65536,0,0
1500,0.000151148,0.00217752,65536,0,0
1600,0.000145597,0.00217753,65536,0,0
1700,0.000140268,0.00217755,65536,0,0
1800,0.00013515,0.00217754,65536,0,0
1900,0.000130238,0.00217754,65536,0,0
1999,0.000125542,0.00217751,65536,0,0
