step,residue_coherence,orientation_alignment,corridor_count
0,0.000103952,0,0
100,0.0103518,0.00112959,0
200,0.0252624,0.00113207,0
300,0.0547702,0.00113306,0
400,0.120701,0.00111884,0
500,0.288522,0.00107716,33
600,0.80696,0.00105916,49211
700,2.4414,0.00116641,65536
800,6.90113,0.00119159,65536
900,18.8071,0.00116273,65536
1000,50.9218,0.00116189,65536
1100,137.753,0.00116187,65536
1200,372.605,0.00116186,65536
1300,1007.83,0.00116185,65536
1400,2725.96,0.00116185,65536
1500,7373.26,0.00116186,65536
1600,19943.4,0.00116186,65536
1700,53942.8,0.00116185,65536
1800,145906,0.00116184,65536
1900,394649,0.00116184,65536
1999,1.05688e+06,0.00116184,65536
