step,residue_coherence,orientation_alignment,corridor_count
0,0.000113346,0.00245429,0
100,0.0111138,0.00279228,0
200,0.0268942,0.00367025,0
300,0.0581425,0.00410306,0
400,0.128333,0.000482499,0
500,0.308987,0.000288715,2008
600,0.873512,0.000667722,52738
700,2.63995,0.000321639,65536
800,7.42966,0.000321664,65536
900,20.2248,0.000296367,65536
1000,54.7521,0.000292673,65536
1100,148.112,0.000292431,65536
1200,400.625,0.00029236,65536
1300,1083.61,0.000292339,65536
1400,2930.96,0.00029232,65536
1500,7927.76,0.000292312,65536
1600,21443,0.000292309,65536
1700,57999.4,0.00029231,65536
1800,156877,0.000292305,65536
1900,424322,0.000292305,65536
1999,1.13636e+06,0.000292308,65536
