step,residue_coherence,orientation_alignment,corridor_count
0,0.000100732,0.00263424,0
100,0.052188,0.00821503,0
200,0.127363,0.0141999,0
300,0.194636,0.00501293,1
400,0.254904,0.0065653,219
500,0.334071,0.00615437,1151
600,0.525159,0.0106668,1679
700,1.10101,0.00577698,1934
800,2.7102,0.0108982,2182
900,7.08133,0.00693143,2395
1000,18.4531,0.00799814,2643
1100,48.0852,0.0055147,2889
1200,126.535,0.00900776,3075
1300,329.623,0.00438817,3256
1400,858.34,0.00823186,3451
1500,2227.83,0.00309938,3647
1600,5749.99,0.0129674,3822
1700,14955.7,0.00999151,3991
1800,38734.4,0.0157439,4121
1900,100323,0.00918147,4314
1999,250419,0.0122073,4486
