trial_id,K_phi,mismatch_rate,metric_x_mean,metric_x_rms,metric_p_rms,metric_order_parameter,metric_local_coherence_mean,metric_residue_mean,metric_mismatch_mean,metric_step,metric_time
0,0.7960525939162038,0.05463097683647579,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9924065829651515,0.9848708259125679,35.43593569406937,0.5549292533629246,990,99.0
1,0.5748443908759868,0.08324337896018873,0.00888347099357685,0.4951379305567921,0.467130926508482,0.985006692627384,0.9702381845207381,60.08090961886005,0.8592291622307084,990,99.0
2,0.38566004097423257,0.09386779264452304,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9638296173163774,0.9289675312162342,78.72913196992567,1.0174737436618613,990,99.0
3,0.909209909956475,0.017174091928979607,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9942220201847597,0.9884774254202647,10.806785619330821,0.17378547241197834,990,99.0
4,0.4131073400831776,0.08966608254593934,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9691285727419331,0.9392101905048159,73.19591556392315,0.9597008171242161,990,99.0
5,0.4716439498480457,0.05072916838362293,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9770312938336138,0.9545901491301849,39.037451101995615,0.5330010557000129,990,99.0
6,0.45325407397061324,0.02824366320950271,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9749267420891287,0.9504821524405224,22.04990597173654,0.29817903886383545,990,99.0
7,0.23078566088980346,0.0034950309010199293,0.00888347099357685,0.4951379305567921,0.467130926508482,0.8418926124941548,0.7087831709722332,6.651516483300922,0.08535141513484135,990,99.0
8,0.15263785960839615,0.015837498608977502,0.00888347099357685,0.4951379305567921,0.467130926508482,0.23528176500569706,0.055357508944196054,55.03216967545096,1.4413110104221227,990,99.0
9,0.6497282137333142,0.09185636766045058,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9884188188947955,0.9769717615453828,63.361950605099715,0.9410491724536535,990,99.0
10,0.7893100852159574,0.05174832496734068,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9922720995574172,0.9846039195600848,33.62960324649916,0.5257963943881947,990,99.0
11,0.23209526953785842,0.04157417045201974,0.00888347099357685,0.4951379305567921,0.467130926508482,0.8472536080942649,0.71783867642875,77.17311922369842,0.9281338542689848,990,99.0
12,0.352470456187271,0.03898566024982601,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9551423839184375,0.9122969735573961,35.041094729159504,0.4329048123844829,990,99.0
13,0.5459723416563891,0.004748503392369633,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9832666821822077,0.9668133682896066,3.478445996967249,0.049199119085317274,990,99.0
14,0.4226791098937259,0.009046919695994075,0.00888347099357685,0.4951379305567921,0.467130926508482,0.970690235895353,0.9422395340625762,7.392174983574417,0.09656582064698442,990,99.0
15,0.7401848313410843,0.06098826979323505,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9911733759194985,0.9824246611316553,40.34565316260302,0.6211273711626416,990,99.0
16,0.10053648304677287,0.08848166704812062,0.00888347099357685,0.4951379305567921,0.467130926508482,0.018071726820534494,0.0003265873102760265,317.4304050692929,8.646858731437934,990,99.0
17,0.9422486268161739,0.08206355591684754,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9946291382680529,0.9892871226918494,51.38445418925462,0.8297038038205835,990,99.0
18,0.7466975345008293,0.0465789114310586,0.00888347099357685,0.4951379305567921,0.467130926508482,0.9913321899770786,0.9827395108847505,30.79541931054034,0.47422271758314116,990,99.0
19,0.05701867431343355,0.011538143772513661,0.00888347099357685,0.4951379305567921,0.467130926508482,0.01992323109439453,0.00039693513724065087,41.55005193357096,1.1338040208679754,990,99.0
