step,residue_coherence,orientation_alignment,corridor_count
0,0.000113458,0.000529815,0
100,0.0111264,0.000549011,0
200,0.0269278,0.00091233,0
300,0.0582196,0.00171761,0
400,0.128514,0.00265212,0
500,0.309471,0.00121287,1954
600,0.875066,8.52091e-05,52986
700,2.64472,0.000488903,65536
800,7.44239,0.000483545,65536
900,20.259,0.00048024,65536
1000,54.8441,0.000469026,65536
1100,148.361,0.00046867,65536
1200,401.292,0.000468675,65536
1300,1085.44,0.000468685,65536
1400,2935.88,0.000468692,65536
1500,7941.04,0.000468682,65536
1600,21479,0.000468684,65536
1700,58096.6,0.000468691,65536
1800,157141,0.000468683,65536
1900,425036,0.000468692,65536
1999,1.13826e+06,0.000468699,65536
