step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
53,2.6500000000000004,0.1975269045395064,215,8.6,58,0,0.0,0,0.0,0,0.0,0.0
54,2.7,0.19758530006710268,215,8.6,61,0,0.0,0,0.0,0,0.0,0.0
55,2.75,0.1976414236466615,215,8.6,62,0,0.0,0,0.0,0,0.0,0.0
56,2.8000000000000003,0.19769543894612723,215,8.6,63,1,0.015873015873015872,0,0.0,0,0.0,0.0
57,2.85,0.19769007863990837,213,8.52,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
58,2.9000000000000004,0.19764631650765177,213,8.52,60,0,0.0,0,0.0,0,0.0,0.0
59,2.95,0.19759947842441972,214,8.56,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
60,3.0,0.1975530782546812,215,8.6,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
61,3.0500000000000003,0.19750719854024318,214,8.56,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
62,3.1,0.19744976865499514,217,8.68,60,3,0.05,0,0.0,0,0.0,0.0
63,3.1500000000000004,0.1973875193389029,218,8.72,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
64,3.2,0.19732170656376744,219,8.76,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
65,3.25,0.1972566161115091,219,8.76,57,0,0.0,0,0.0,0,0.0,0.0
66,3.3000000000000003,0.1971881514951848,219,8.76,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
67,3.35,0.19713368057746705,220,8.8,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
68,3.4000000000000004,0.19707642602595213,220,8.8,55,0,0.0,0,0.0,0,0.0,0.0
69,3.45,0.1970165206006973,220,8.8,55,0,0.0,0,0.0,0,0.0,0.0
70,3.5,0.1969542084820125,221,8.84,55,2,0.03636363636363636,0,0.0,0,0.0,0.0
71,3.5500000000000003,0.19692250631053818,221,8.84,54,0,0.0,0,0.0,0,0.0,0.0
72,3.6,0.19688916819627245,220,8.8,55,0,0.0,0,0.0,0,0.0,0.0
73,3.6500000000000004,0.19679690133947225,221,8.84,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
74,3.7,0.19669738731201247,221,8.84,54,0,0.0,0,0.0,0,0.0,0.0
75,3.75,0.19659648603799246,221,8.84,56,0,0.0,0,0.0,0,0.0,0.0
76,3.8000000000000003,0.19649447997874286,222,8.88,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
77,3.85,0.19639068669256876,222,8.88,59,0,0.0,0,0.0,0,0.0,0.0
78,3.9000000000000004,0.1962864861937339,223,8.92,59,2,0.03389830508474576,0,0.0,0,0.0,0.0
79,3.95,0.19619783225897947,224,8.96,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
80,4.0,0.1961084554537961,223,8.92,56,0,0.0,0,0.0,0,0.0,0.0
81,4.05,0.19597681214352,224,8.96,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
82,4.1000000000000005,0.19583171123695176,224,8.96,56,0,0.0,0,0.0,0,0.0,0.0
83,4.15,0.1956877712635788,224,8.96,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
84,4.2,0.19551507627230363,223,8.92,56,0,0.0,0,0.0,0,0.0,0.0
85,4.25,0.1953503508473915,223,8.92,57,0,0.0,0,0.0,0,0.0,0.0
86,4.3,0.19518651515589852,226,9.04,57,3,0.05263157894736842,0,0.0,0,0.0,0.0
87,4.3500000000000005,0.19502414264082327,226,9.04,55,2,0.03636363636363636,0,0.0,0,0.0,0.0
88,4.4,0.19487611718705586,227,9.08,54,2,0.037037037037037035,0,0.0,0,0.0,0.0
89,4.45,0.19467201473950638,227,9.08,57,0,0.0,0,0.0,0,0.0,0.0
90,4.5,0.194468652167061,228,9.12,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
91,4.55,0.19426632361710003,228,9.12,58,1,0.017241379310344827,0,0.0,0,0.0,0.0
92,4.6000000000000005,0.19409744287029088,229,9.16,58,1,0.017241379310344827,0,0.0,0,0.0,0.0
93,4.65,0.19393073871209945,228,9.12,57,0,0.0,0,0.0,0,0.0,0.0
94,4.7,0.1938028053387515,226,9.04,59,0,0.0,0,0.0,0,0.0,0.0
95,4.75,0.19371318100539553,226,9.04,62,0,0.0,0,0.0,0,0.0,0.0
96,4.800000000000001,0.19362608696433806,227,9.08,65,1,0.015384615384615385,0,0.0,0,0.0,0.0
97,4.8500000000000005,0.1935416803122719,230,9.2,65,3,0.046153846153846156,0,0.0,0,0.0,0.0
98,4.9,0.19347003415069938,230,9.2,61,0,0.0,0,0.0,0,0.0,0.0
99,4.95,0.19340177204912384,231,9.24,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
100,5.0,0.19333736273363863,232,9.28,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
101,5.050000000000001,0.19327677269895224,230,9.2,57,0,0.0,0,0.0,0,0.0,0.0
102,5.1000000000000005,0.19326245195105218,232,9.28,60,3,0.05,0,0.0,0,0.0,0.0
103,5.15,0.19323836061715643,233,9.32,57,2,0.03508771929824561,0,0.0,0,0.0,0.0
104,5.2,0.19318760889874872,233,9.32,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
105,5.25,0.19317277216095952,235,9.4,56,2,0.03571428571428571,0,0.0,0,0.0,0.0
106,5.300000000000001,0.1931602938122681,234,9.36,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
107,5.3500000000000005,0.19318991166909122,236,9.44,55,2,0.03636363636363636,0,0.0,0,0.0,0.0
108,5.4,0.1932264326503371,237,9.48,53,1,0.018867924528301886,0,0.0,0,0.0,0.0
109,5.45,0.19326781288980457,237,9.48,54,0,0.0,0,0.0,0,0.0,0.0
110,5.5,0.1933146588959272,237,9.48,55,1,0.01818181818181818,0,0.0,0,0.0,0.0
111,5.550000000000001,0.19339572200693766,237,9.48,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
112,5.6000000000000005,0.19345528286535718,234,9.36,57,0,0.0,0,0.0,0,0.0,0.0
113,5.65,0.19347596298543193,236,9.44,58,2,0.034482758620689655,0,0.0,0,0.0,0.0
114,5.7,0.19350187763633975,236,9.44,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
115,5.75,0.1935112863419619,236,9.44,54,0,0.0,0,0.0,0,0.0,0.0
116,5.800000000000001,0.19352471993186415,236,9.44,54,0,0.0,0,0.0,0,0.0,0.0
117,5.8500000000000005,0.19354246869061076,236,9.44,56,0,0.0,0,0.0,0,0.0,0.0
118,5.9,0.19356482862837132,237,9.48,56,1,0.017857142857142856,0,0.0,0,0.0,0.0
119,5.95,0.19359238487435584,237,9.48,58,0,0.0,0,0.0,0,0.0,0.0
120,6.0,0.19362517653332703,237,9.48,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
121,6.050000000000001,0.1936637898799883,237,9.48,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
122,6.1000000000000005,0.19373256561306237,237,9.48,61,1,0.01639344262295082,0,0.0,0,0.0,0.0
123,6.15,0.19378248240753496,237,9.48,60,1,0.016666666666666666,0,0.0,0,0.0,0.0
124,6.2,0.19384938347666292,238,9.52,58,1,0.017241379310344827,0,0.0,0,0.0,0.0
125,6.25,0.19392252942557345,239,9.56,58,1,0.017241379310344827,0,0.0,0,0.0,0.0
126,6.300000000000001,0.19401349519257197,239,9.56,57,2,0.03508771929824561,0,0.0,0,0.0,0.0
127,6.3500000000000005,0.1941375832498445,239,9.56,57,0,0.0,0,0.0,0,0.0,0.0
128,6.4,0.19426772533162096,239,9.56,58,0,0.0,0,0.0,0,0.0,0.0
129,6.45,0.1944041460761869,240,9.6,57,1,0.017543859649122806,0,0.0,0,0.0,0.0
130,6.5,0.19454812977853228,239,9.56,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
131,6.550000000000001,0.19476703333011908,240,9.6,55,2,0.03636363636363636,0,0.0,0,0.0,0.0
132,6.6000000000000005,0.1949708045549791,240,9.6,54,0,0.0,0,0.0,0,0.0,0.0
133,6.65,0.19518401621747206,242,9.68,53,2,0.03773584905660377,0,0.0,0,0.0,0.0
134,6.7,0.1954101701779525,241,9.64,52,3,0.057692307692307696,0,0.0,0,0.0,0.0
135,6.75,0.19561382906728755,241,9.64,52,1,0.019230769230769232,0,0.0,0,0.0,0.0
136,6.800000000000001,0.19576876965336867,242,9.68,50,1,0.02,0,0.0,0,0.0,0.0
137,6.8500000000000005,0.19593196454903658,241,9.64,50,1,0.02,0,0.0,0,0.0,0.0
138,6.9,0.19617427014136715,241,9.64,50,0,0.0,0,0.0,0,0.0,0.0
139,6.95,0.19642465617906718,242,9.68,50,1,0.02,0,0.0,0,0.0,0.0
140,7.0,0.19668175081104716,243,9.72,49,1,0.02040816326530612,0,0.0,0,0.0,0.0
141,7.050000000000001,0.19694745206776398,244,9.76,51,3,0.058823529411764705,0,0.0,0,0.0,0.0
142,7.1000000000000005,0.19716189402523077,245,9.8,49,2,0.04081632653061224,0,0.0,0,0.0,0.0
143,7.15,0.19735526272316975,245,9.8,48,0,0.0,0,0.0,0,0.0,0.0
144,7.2,0.19755571004325362,245,9.8,49,0,0.0,0,0.0,0,0.0,0.0
145,7.25,0.197763474408862,246,9.84,49,1,0.02040816326530612,0,0.0,0,0.0,0.0
146,7.300000000000001,0.19797148772352074,247,9.88,48,1,0.020833333333333332,0,0.0,0,0.0,0.0
147,7.3500000000000005,0.19818723473630093,245,9.8,47,0,0.0,0,0.0,0,0.0,0.0
148,7.4,0.1984294336684929,244,9.76,50,0,0.0,0,0.0,0,0.0,0.0
149,7.45,0.1987189286393735,247,9.88,51,3,0.058823529411764705,0,0.0,0,0.0,0.0
150,7.5,0.1990028325383179,246,9.84,49,0,0.0,0,0.0,0,0.0,0.0
151,7.550000000000001,0.19926989387761304,247,9.88,49,1,0.02040816326530612,0,0.0,0,0.0,0.0
152,7.6000000000000005,0.19954696604046257,246,9.84,52,1,0.019230769230769232,0,0.0,0,0.0,0.0
153,7.65,0.19982048322933732,246,9.84,52,0,0.0,0,0.0,0,0.0,0.0
154,7.7,0.20010212640641437,245,9.8,54,0,0.0,0,0.0,0,0.0,0.0
155,7.75,0.20044653880517135,243,9.72,56,0,0.0,0,0.0,0,0.0,0.0
156,7.800000000000001,0.20083510679868993,243,9.72,58,0,0.0,0,0.0,0,0.0,0.0
157,7.8500000000000005,0.20123371350761715,243,9.72,57,0,0.0,0,0.0,0,0.0,0.0
158,7.9,0.20164256273184078,247,9.88,57,4,0.07017543859649122,0,0.0,0,0.0,0.0
159,7.95,0.20205166581653602,247,9.88,52,0,0.0,0,0.0,0,0.0,0.0
160,8.0,0.20247172452376316,246,9.84,53,0,0.0,0,0.0,0,0.0,0.0
161,8.05,0.20293208930051587,247,9.88,54,1,0.018518518518518517,0,0.0,0,0.0,0.0
162,8.1,0.20340521178516258,250,10.0,54,3,0.05555555555555555,0,0.0,0,0.0,0.0
163,8.15,0.20388529526152244,254,10.16,52,4,0.07692307692307693,0,0.0,0,0.0,0.0
164,8.200000000000001,0.20438041051144104,255,10.2,48,1,0.020833333333333332,0,0.0,0,0.0,0.0
165,8.25,0.20488880957130778,255,10.2,46,1,0.021739130434782608,0,0.0,0,0.0,0.0
166,8.3,0.20540700131919706,256,10.24,46,1,0.021739130434782608,0,0.0,0,0.0,0.0
167,8.35,0.20593970124486666,257,10.28,45,1,0.022222222222222223,0,0.0,0,0.0,0.0
168,8.4,0.20648849283147494,259,10.36,45,2,0.044444444444444446,0,0.0,0,0.0,0.0
169,8.450000000000001,0.20705268885171782,259,10.36,44,1,0.022727272727272728,0,0.0,0,0.0,0.0
170,8.5,0.2076230762742836,262,10.48,45,3,0.06666666666666667,0,0.0,0,0.0,0.0
171,8.55,0.20820196097281796,262,10.48,42,1,0.023809523809523808,0,0.0,0,0.0,0.0
172,8.6,0.20877577851670223,262,10.48,43,0,0.0,0,0.0,0,0.0,0.0
173,8.65,0.20936517722221437,261,10.44,44,0,0.0,0,0.0,0,0.0,0.0
174,8.700000000000001,0.2099483355005779,261,10.44,44,0,0.0,0,0.0,0,0.0,0.0
175,8.75,0.21054707502124503,262,10.48,46,1,0.021739130434782608,0,0.0,0,0.0,0.0
176,8.8,0.21115873843000227,262,10.48,42,1,0.023809523809523808,0,0.0,0,0.0,0.0
177,8.85,0.21178093235765957,263,10.52,43,1,0.023255813953488372,0,0.0,0,0.0,0.0
178,8.9,0.21242363104005516,264,10.56,44,1,0.022727272727272728,0,0.0,0,0.0,0.0
179,8.950000000000001,0.21308316813255024,264,10.56,46,1,0.021739130434782608,0,0.0,0,0.0,0.0
180,9.0,0.21373992182504872,265,10.6,45,2,0.044444444444444446,0,0.0,0,0.0,0.0
181,9.05,0.21438937403172575,265,10.6,45,1,0.022222222222222223,0,0.0,0,0.0,0.0
182,9.1,0.21507439413473942,265,10.6,45,1,0.022222222222222223,0,0.0,0,0.0,0.0
183,9.15,0.21574316034038774,265,10.6,45,0,0.0,0,0.0,0,0.0,0.0
184,9.200000000000001,0.21643066974803346,265,10.6,47,1,0.02127659574468085,0,0.0,0,0.0,0.0
185,9.25,0.2171676647685113,266,10.64,48,2,0.041666666666666664,0,0.0,0,0.0,0.0
186,9.3,0.2179136982850793,267,10.68,47,2,0.0425531914893617,0,0.0,0,0.0,0.0
187,9.35,0.21865592499600786,269,10.76,47,2,0.0425531914893617,0,0.0,0,0.0,0.0
188,9.4,0.21942519394627652,272,10.88,45,3,0.06666666666666667,0,0.0,0,0.0,0.0
189,9.450000000000001,0.22022182723553144,274,10.96,44,2,0.045454545454545456,0,0.0,0,0.0,0.0
190,9.5,0.22103933531065656,274,10.96,43,1,0.023255813953488372,0,0.0,0,0.0,0.0
191,9.55,0.2218967600363505,274,10.96,44,1,0.022727272727272728,0,0.0,0,0.0,0.0
192,9.600000000000001,0.22275542858662378,275,11.0,44,1,0.022727272727272728,0,0.0,0,0.0,0.0
193,9.65,0.22363877797020232,274,10.96,44,2,0.045454545454545456,0,0.0,0,0.0,0.0
194,9.700000000000001,0.22444586339273748,273,10.92,43,0,0.0,0,0.0,0,0.0,0.0
195,9.75,0.2252626054645995,275,11.0,43,2,0.046511627906976744,0,0.0,0,0.0,0.0
196,9.8,0.2260981232226822,276,11.04,43,1,0.023255813953488372,0,0.0,0,0.0,0.0
197,9.850000000000001,0.22695934891663816,277,11.08,45,1,0.022222222222222223,0,0.0,0,0.0,0.0
198,9.9,0.22784799835233363,277,11.08,45,0,0.0,0,0.0,0,0.0,0.0
199,9.950000000000001,0.2287634148312346,277,11.08,46,1,0.021739130434782608,0,0.0,0,0.0,0.0
200,10.0,0.22969411620356436,277,11.08,48,0,0.0,0,0.0,0,0.0,0.0
201,10.05,0.23065189390052115,279,11.16,50,2,0.04,0,0.0,0,0.0,0.0
202,10.100000000000001,0.2316308436834745,279,11.16,49,0,0.0,0,0.0,0,0.0,0.0
203,10.15,0.2326383389852301,279,11.16,50,1,0.02,0,0.0,0,0.0,0.0
204,10.200000000000001,0.23362554381348688,279,11.16,49,0,0.0,0,0.0,0,0.0,0.0
205,10.25,0.23464191559819467,279,11.16,51,1,0.0196078431372549,0,0.0,0,0.0,0.0
206,10.3,0.2356727007036336,277,11.08,50,0,0.0,0,0.0,0,0.0,0.0
207,10.350000000000001,0.23669759863062004,278,11.12,51,1,0.0196078431372549,0,0.0,0,0.0,0.0
208,10.4,0.23774122264948813,278,11.12,50,0,0.0,0,0.0,0,0.0,0.0
209,10.450000000000001,0.23881449509107644,279,11.16,49,1,0.02040816326530612,0,0.0,0,0.0,0.0
210,10.5,0.2399189360265083,277,11.08,48,1,0.020833333333333332,0,0.0,0,0.0,0.0
211,10.55,0.24100431719169169,279,11.16,48,2,0.041666666666666664,0,0.0,0,0.0,0.0
212,10.600000000000001,0.24211176624267516,280,11.2,47,3,0.06382978723404255,0,0.0,0,0.0,0.0
213,10.65,0.2431867533437074,277,11.08,46,0,0.0,0,0.0,0,0.0,0.0
214,10.700000000000001,0.2441732185047981,276,11.04,46,0,0.0,0,0.0,0,0.0,0.0
215,10.75,0.24517697801956145,276,11.04,47,0,0.0,0,0.0,0,0.0,0.0
216,10.8,0.24620724125096502,278,11.12,46,2,0.043478260869565216,0,0.0,0,0.0,0.0
217,10.850000000000001,0.24727248020279433,276,11.04,45,0,0.0,0,0.0,0,0.0,0.0
218,10.9,0.24830031034423738,277,11.08,45,2,0.044444444444444446,0,0.0,0,0.0,0.0
219,10.950000000000001,0.24932987158491815,277,11.08,44,1,0.022727272727272728,0,0.0,0,0.0,0.0
