step,residue_coherence,orientation_alignment,corridor_count
0,0.000113309,0.000765731,0
100,0.011112,0.000820771,0
200,0.0268924,0.00183428,0
300,0.0581421,0.00326501,0
400,0.128336,0.00220281,0
500,0.309,0.00126972,1939
600,0.873531,0.000917249,52860
700,2.63995,0.00124751,65536
800,7.42979,0.00117648,65536
900,20.2254,0.00118109,65536
1000,54.7531,0.00117301,65536
1100,148.114,0.00117203,65536
1200,400.628,0.00117195,65536
1300,1083.63,0.00117193,65536
1400,2931.01,0.00117194,65536
1500,7927.83,0.00117192,65536
1600,21443.2,0.00117192,65536
1700,57999.8,0.00117192,65536
1800,156880,0.00117193,65536
1900,424332,0.00117193,65536
1999,1.13636e+06,0.00117194,65536
