step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00729502,0.00255454,28473,0.00364549,0.0421307,0.00628145,0.434464
100,3.37962,0.00270153,58494,0.0957294,0.471586,0.00694144,0.892548
200,10.1701,0.0077218,59726,0.122175,0.613417,0.00747153,0.911346
300,17.8976,0.00563879,60034,0.144096,0.640678,0.00772433,0.916046
400,24.2339,0.00299158,60045,0.160176,0.649747,0.0078267,0.916214
500,28.8652,0.00526554,60012,0.171755,0.667873,0.00808632,0.91571
600,32.6041,0.00321462,60047,0.180237,0.676102,0.0086049,0.916245
700,36.0416,0.0102388,60060,0.18701,0.681719,0.00904271,0.916443
800,38.5157,0.00911945,60139,0.192885,0.713236,0.00947953,0.917648
900,40.751,0.0051456,60306,0.197544,0.683787,0.0101854,0.920197
1000,42.9441,0.00684012,60450,0.201859,0.678959,0.0109199,0.922394
1100,44.9671,0.00547732,60478,0.20575,0.675604,0.0114645,0.922821
1200,46.8974,0.00347261,60543,0.209644,0.677607,0.0120853,0.923813
1300,48.782,0.00743747,60689,0.21208,0.679292,0.0127502,0.926041
1400,51.426,0.00360496,60756,0.215217,0.683282,0.0133843,0.927063
1500,52.9904,0.00540172,60816,0.218813,0.715209,0.0139645,0.927979
1600,55.1191,0.00820858,60944,0.221742,0.710689,0.0145654,0.929932
1700,57.5414,0.00126539,61070,0.224167,0.700774,0.0155134,0.931854
1800,59.4117,0.00927646,61138,0.227327,0.751198,0.0163308,0.932892
1900,62.0889,0.0147409,61313,0.229876,0.67517,0.0169956,0.935562
1999,64.6687,0.00440648,61374,0.231593,0.693574,0.0175996,0.936493
