s,kappa,seed,active_fraction
0.4,0.2,202,1.0
0.4,0.2,203,1.0
0.4,0.2,204,1.0
0.4,0.2,205,1.0
0.4,0.2,206,1.0
0.4,0.2,207,1.0
0.2,1.0,200,0.43359375
0.2,1.0,201,0.43359375
0.2,1.0,202,0.43359375
0.2,1.0,203,0.43359375
0.2,1.0,204,0.43359375
0.2,1.0,205,0.43359375
0.2,1.0,206,0.43359375
0.2,1.0,207,0.43359375
0.2,0.8,200,0.43359375
0.2,0.8,201,0.43359375
0.2,0.8,202,0.43359375
0.2,0.8,203,0.43359375
0.2,0.8,204,0.43359375
0.2,0.8,205,0.43359375
0.2,0.8,206,0.43359375
0.2,0.8,207,0.43359375
0.2,0.6,200,0.43359375
0.2,0.6,201,0.43359375
0.2,0.6,202,0.43359375
0.2,0.6,203,0.43359375
0.2,0.6,204,0.43359375
0.2,0.6,205,0.43359375
0.2,0.6,206,0.43359375
0.2,0.6,207,0.43359375
0.2,0.4,200,0.43359375
0.2,0.4,201,0.43359375
0.2,0.4,202,0.43359375
0.2,0.4,203,0.43359375
0.2,0.4,204,0.43359375
0.2,0.4,205,0.43359375
0.2,0.4,206,0.43359375
0.2,0.4,207,0.43359375
0.2,0.2,200,0.43359375
0.2,0.2,201,0.43359375
0.2,0.2,202,0.43359375
0.2,0.2,203,0.43359375
0.2,0.2,204,0.43359375
0.2,0.2,205,0.43359375
0.2,0.2,206,0.43359375
0.2,0.2,207,0.43359375
0.1,1.0,200,0.35546875
0.1,1.0,201,0.35546875
0.1,1.0,202,0.35546875
0.1,1.0,203,0.35546875
0.1,1.0,204,0.35546875
0.1,1.0,205,0.35546875
0.1,1.0,206,0.35546875
0.1,1.0,207,0.35546875
0.1,0.8,200,0.35546875
0.1,0.8,201,0.35546875
0.1,0.8,202,0.35546875
0.1,0.8,203,0.35546875
0.1,0.8,204,0.35546875
0.1,0.8,205,0.35546875
0.1,0.8,206,0.35546875
0.1,0.8,207,0.35546875
0.1,0.6,200,0.35546875
0.1,0.6,201,0.35546875
0.1,0.6,202,0.35546875
0.1,0.6,203,0.35546875
0.1,0.6,204,0.35546875
0.1,0.6,205,0.35546875
0.1,0.6,206,0.35546875
0.1,0.6,207,0.35546875
0.1,0.4,200,0.35546875
0.1,0.4,201,0.35546875
0.1,0.4,202,0.35546875
0.1,0.4,203,0.35546875
0.1,0.4,204,0.35546875
0.1,0.4,205,0.35546875
0.1,0.4,206,0.35546875
0.1,0.4,207,0.35546875
