mean_x,std_x,crossing_fraction,onset_count,step,time
0.0031515153068536286,0.04970760532686284,0.0,0,0,0.0
0.009028977255815081,0.1453166581703813,0.0,0,10,0.1
0.006991499466823489,0.1868776275491622,0.0,0,20,0.2
0.0006609999285425583,0.21298850261895055,0.0,0,30,0.3
-0.009412121025895902,0.22700655200603814,0.0,0,40,0.4
-0.004054369148414077,0.24799223341819845,0.0,0,50,0.5
-0.009864395172247352,0.2514403872281004,0.0,0,60,0.6
-0.008367087602181154,0.24294377678042392,0.0,0,70,0.7000000000000001
-0.010787581085483524,0.23763863113797573,0.0,0,80,0.8
-0.019113893490625818,0.23166007176140732,0.0,0,90,0.9
-0.02245626886928414,0.23760513694575644,0.0,0,100,1.0
-0.012097809154157594,0.24989290282279383,0.0,0,110,1.1
-0.007439184468164022,0.2671880746728868,0.0,0,120,1.2
-0.004989787297515062,0.25720554179039734,0.0,0,130,1.3
-0.0060406523417027595,0.25174781775889,0.0,0,140,1.4000000000000001
0.0031672709219415806,0.24985836098069872,0.0,0,150,1.5
-0.003580026888711908,0.25038355076146745,0.0,0,160,1.6
-0.001270630586458603,0.24878212151016074,0.0,0,170,1.7
0.0009715784863056345,0.25645988448948137,0.0,0,180,1.8
-0.0005658725431912071,0.25800298015141643,0.0,0,190,1.9000000000000001
0.0035211271607567063,0.25820790182590353,0.0,0,200,2.0
0.010314924095418464,0.2578957768890465,0.0,0,210,2.1
0.012573959557239672,0.2587736742736799,0.0,0,220,2.2
0.016934343040834698,0.2513955401902851,0.0,0,230,2.3000000000000003
0.006668917740599138,0.24548147086705477,0.0,0,240,2.4
0.014536439358639474,0.24906663471342483,0.0,0,250,2.5
0.022069536223456546,0.24568331362424808,0.0,0,260,2.6
0.02022011409771303,0.24336028342909038,0.0,0,270,2.7
0.020462532488919393,0.24718468487025794,0.0,0,280,2.8000000000000003
0.01770026186615845,0.2567943277035377,0.0,0,290,2.9
0.024504602291260943,0.25822488017135653,0.0,0,300,3.0
0.02564446845303703,0.25087905791980697,0.0,0,310,3.1
0.016834357175599203,0.25191506673617603,0.0,0,320,3.2
0.017550664848629858,0.25027532481460296,0.0,0,330,3.3000000000000003
0.020854295294932032,0.24500109642451895,0.0,0,340,3.4
0.020697097183802884,0.24611079045443662,0.0,0,350,3.5
0.024596774215859697,0.24354998477161927,0.0,0,360,3.6
0.018801714525024955,0.2581247704198695,0.0,0,370,3.7
0.010191380340199827,0.261598474588144,0.0,0,380,3.8000000000000003
-0.0009655899856641001,0.247579394777373,0.0,0,390,3.9
-0.0018191178174358268,0.24978440871369198,0.0,0,400,4.0
0.004983898913256798,0.24391399735877778,0.0,0,410,4.1
0.004797072073065901,0.24098193043049454,0.0,0,420,4.2
0.00746646211250537,0.24798131090327277,0.0,0,430,4.3
0.001452521902365433,0.24771826987829376,0.0,0,440,4.4
0.012378213245921336,0.24728624139035774,0.0,0,450,4.5
0.0013632605175296106,0.2465608801668402,0.0,0,460,4.6000000000000005
0.010045937811320713,0.24532830630536878,0.0,0,470,4.7
0.016971511524228645,0.2522947080526652,0.0,0,480,4.8
0.010678806692604074,0.2561464452248421,0.0,0,490,4.9
-0.0013179239556687361,0.24487382380218148,0.0,0,500,5.0
-0.00795877064423649,0.24500856483649774,0.0,0,510,5.1000000000000005
0.003352743350401818,0.24654517635445614,0.0,0,520,5.2
0.008973004925959285,0.24784565999349553,0.0,0,530,5.3
-0.001306067622129758,0.24448629668038907,0.0,0,540,5.4
-0.0008774517204947517,0.24124625249216047,0.0,0,550,5.5
0.0010786708535876356,0.24948779877191832,0.0,0,560,5.6000000000000005
-0.00629526684760845,0.25145709741866995,0.0,0,570,5.7
-0.0031962591490943323,0.2547116060072544,0.0,0,580,5.8
0.0027592791844949214,0.24770632179402977,0.0,0,590,5.9
-0.008652673846753323,0.25152546450707436,0.0,0,600,6.0
-0.00031776420385851265,0.2561211017543177,0.0,0,610,6.1000000000000005
-0.012525108435259355,0.24620784197461096,0.0,0,620,6.2
-0.007047782982277693,0.24686517620467074,0.0,0,630,6.3
-0.006612560958132187,0.24291167816472434,0.0,0,640,6.4
-0.0004795666657677096,0.24828906136922235,0.0,0,650,6.5
0.006177393323788755,0.24061712634195187,0.0,0,660,6.6000000000000005
0.006134111294942639,0.25044400538012246,0.0,0,670,6.7
-0.0030477716126510934,0.25367382395848315,0.0,0,680,6.8
0.011580262569457546,0.2543967096453139,0.0,0,690,6.9
0.018543229395000253,0.25384317402212053,0.0,0,700,7.0
0.012850980380598984,0.254011826747495,0.0,0,710,7.1000000000000005
