step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00733218,0.00143185,28544,0.00366568,0.0408778,0.00609026,0.435547
100,5.893,0.00514482,59410,0.130481,0.644892,0.00701308,0.906525
200,22.0896,0.0130928,58723,0.137389,0.685143,0.00747088,0.896042
300,51.4449,0.00590413,59048,0.150978,0.665705,0.00780501,0.901001
400,92.9053,0.0185973,59384,0.159851,0.706225,0.00765248,0.906128
500,145.203,0.0222624,59711,0.166774,0.775575,0.00749479,0.911118
600,195.085,0.0218356,60051,0.173052,0.843206,0.00749245,0.916306
700,260.468,0.00981737,60327,0.178461,0.740034,0.00727816,0.920517
800,340.926,0.0545761,60548,0.184848,0.800975,0.00716637,0.923889
900,428.227,0.0438213,60790,0.189551,0.806772,0.00691934,0.927582
1000,529.853,0.0338981,61059,0.194467,0.839278,0.00672604,0.931686
1100,628.693,0.0259495,61282,0.198483,0.767421,0.00658199,0.935089
1200,815.805,0.0581389,61375,0.201404,0.830678,0.0068501,0.936508
1300,945.594,0.0732602,61613,0.20623,0.836994,0.00680237,0.94014
1400,953.109,0.103921,61706,0.210207,0.820561,0.00662448,0.941559
1500,1068.82,0.0680107,61780,0.21156,0.835618,0.00635261,0.942688
1600,1194.58,0.0497539,61913,0.215901,0.822539,0.00614248,0.944717
1700,1822.81,0.0591705,62139,0.219265,0.837629,0.00609345,0.948166
1800,1594.42,0.056838,62317,0.221339,0.822165,0.00572221,0.950882
1900,2147.2,0.0194846,62392,0.223896,0.806057,0.00565014,0.952026
1999,2295.6,0.118674,62661,0.22623,0.860339,0.00556412,0.956131
