step,residue_coherence,orientation_alignment,corridor_count
0,0.000113357,0.000550071,0
100,0.0111155,0.000508666,0
200,0.0268996,0.000371654,0
300,0.0581559,0.000471711,0
400,0.128368,0.000272046,0
500,0.309105,0.0016469,1997
600,0.873921,0.00102324,52706
700,2.64098,0.0013098,65536
800,7.43239,0.00139304,65536
900,20.2325,0.00142968,65536
1000,54.7725,0.00142825,65536
1100,148.166,0.00142822,65536
1200,400.764,0.00142822,65536
1300,1084,0.00142824,65536
1400,2932.06,0.00142826,65536
1500,7930.6,0.00142823,65536
1600,21450.8,0.00142822,65536
1700,58020.7,0.00142825,65536
1800,156936,0.00142823,65536
1900,424479,0.00142826,65536
1999,1.13677e+06,0.00142825,65536
