step,residue_coherence,orientation_alignment,corridor_count
0,3.13987e-06,0.000734035,0
100,0.000153655,0.000776093,0
200,0.000200661,0.000842663,0
300,0.000248857,0.000901215,0
400,0.000295577,0.000949087,0
500,0.000331356,0.000990789,0
600,0.000354342,0.00102951,0
700,0.000366797,0.0010659,0
800,0.000371677,0.00109941,0
900,0.000371382,0.00112921,0
1000,0.000367643,0.0011548,0
1100,0.000361639,0.00117601,0
1200,0.000354161,0.00119301,0
1300,0.000345743,0.00120615,0
1400,0.000336739,0.00121591,0
1500,0.000327404,0.00122275,0
1600,0.000317911,0.00122717,0
1700,0.000308381,0.00122955,0
1800,0.000298902,0.00123034,0
1900,0.000289531,0.00122981,0
1999,0.000280405,0.00122822,0
