theta_g,seed,active_area,active_fraction
1.0,42,177.79746899980168,0.010851896301257427
0.9,42,183.9988758751081,0.011230400138861578
0.8,42,190.82519582531154,0.011647045643634737
0.7,42,198.55987585174208,0.01211913304759168
0.6,42,209.2050882162428,0.012768865247573414
0.5,42,222.20471518595454,0.013562299510861483
0.4,42,235.81049445296765,0.014392730374326639
0.3,42,251.58132183032842,0.015355305287495631
0.2,42,275.31227734227707,0.016803727865129216
0.1,42,306.298046706985,0.01869494913983063
0.3,600,52.117648236244335,0.00318100880348171
0.3,601,52.117648236244335,0.00318100880348171
0.3,602,52.117648236244335,0.00318100880348171
0.3,603,52.117648236244335,0.00318100880348171
0.3,604,52.117648236244335,0.00318100880348171
0.3,605,52.117648236244335,0.00318100880348171
0.3,606,52.117648236244335,0.00318100880348171
0.3,607,52.117648236244335,0.00318100880348171
0.25,600,57.992861237672656,0.003539603347025919
0.25,601,57.992861237672656,0.003539603347025919
0.25,602,57.992861237672656,0.003539603347025919
0.25,603,57.992861237672656,0.003539603347025919
0.25,604,57.992861237672656,0.003539603347025919
0.25,605,57.992861237672656,0.003539603347025919
0.25,606,57.992861237672656,0.003539603347025919
0.25,607,57.992861237672656,0.003539603347025919
0.2,600,63.76022852662442,0.0038916155106582286
0.2,601,63.76022852662442,0.0038916155106582286
0.2,602,63.76022852662442,0.0038916155106582286
0.2,603,63.76022852662442,0.0038916155106582286
0.2,604,63.76022852662442,0.0038916155106582286
0.2,605,63.76022852662442,0.0038916155106582286
0.2,606,63.76022852662442,0.0038916155106582286
0.2,607,63.76022852662442,0.0038916155106582286
0.15,600,69.47453654166964,0.004240389193217141
0.15,601,69.47453654166964,0.004240389193217141
0.15,602,69.47453654166964,0.004240389193217141
0.15,603,69.47453654166964,0.004240389193217141
0.15,604,69.47453654166964,0.004240389193217141
0.15,605,69.47453654166964,0.004240389193217141
0.15,606,69.47453654166964,0.004240389193217141
0.15,607,69.47453654166964,0.004240389193217141
0.1,600,75.20773001137361,0.004590315552452003
0.1,601,75.20773001137361,0.004590315552452003
0.1,602,75.20773001137361,0.004590315552452003
0.1,603,75.20773001137361,0.004590315552452003
0.1,604,75.20773001137361,0.004590315552452003
0.1,605,75.20773001137361,0.004590315552452003
0.1,606,75.20773001137361,0.004590315552452003
0.1,607,75.20773001137361,0.004590315552452003
0.05,600,81.03717014881917,0.004946116342091014
0.05,601,81.03717014881917,0.004946116342091014
0.05,602,81.03717014881917,0.004946116342091014
0.05,603,81.03717014881917,0.004946116342091014
0.05,604,81.03717014881917,0.004946116342091014
0.05,605,81.03717014881917,0.004946116342091014
0.05,606,81.03717014881917,0.004946116342091014
0.05,607,81.03717014881917,0.004946116342091014
