step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.007311,0.0014644,28351,0.00365509,0.0358632,0.00434797,0.432602
100,5.71653,0.00228487,59440,0.127693,0.656342,0.0050462,0.906982
200,21.3006,0.0175021,58410,0.13599,0.64766,0.00590227,0.891266
300,46.7415,0.00886704,58861,0.147947,0.680486,0.00666775,0.898148
400,85.0657,0.0305355,59314,0.156502,0.772528,0.00717417,0.90506
500,135.674,0.0211233,59718,0.1653,0.754293,0.00764392,0.911224
600,186.706,0.0166402,59940,0.172511,0.696225,0.00809264,0.914612
700,235.566,0.0404314,60252,0.175962,0.75037,0.00834785,0.919373
800,312.853,0.0776567,60480,0.182721,0.751581,0.00828904,0.922852
900,429.689,0.0265924,60863,0.189753,0.780657,0.00803462,0.928696
1000,476.29,0.0221934,61086,0.192958,0.787878,0.00772845,0.932098
1100,612.337,0.0767167,61232,0.198432,0.763625,0.00757502,0.934326
1200,736.302,0.0438746,61384,0.202061,0.842523,0.00749299,0.936646
1300,852.534,0.0953084,61641,0.206568,0.864056,0.00745486,0.940567
1400,1120.18,0.0233158,61789,0.207828,0.804457,0.00749847,0.942825
1500,1207.98,0.0236349,61979,0.210855,0.785182,0.00772624,0.945724
1600,1608.06,0.0299482,62034,0.215949,0.806523,0.00764282,0.946564
1700,1787.4,0.0558928,62301,0.21917,0.829167,0.00809585,0.950638
1800,2232.96,0.0318379,62425,0.222733,0.845307,0.00851624,0.95253
1900,2355.55,0.107783,62482,0.22495,0.807667,0.00901169,0.9534
1999,2612.92,0.0913268,62683,0.22748,0.838859,0.00925292,0.956467
