order_parameter,local_coherence_mean,step,time
0.09533781861585805,0.428813117728126,0,0.0
0.0436349581706923,0.7815026259471516,10,0.5
0.03008189952223682,0.8627177099653744,20,1.0
0.03044612941676015,0.8897702477999841,30,1.5
0.03952901891243595,0.9030087129014115,40,2.0
0.05354831367503274,0.9113242952390384,50,2.5
0.06987066640512674,0.9172150494951035,60,3.0
0.08689949381639861,0.9217182364294967,70,3.5
0.10375531848407435,0.925338292504321,80,4.0
0.11993962731596151,0.928347711585982,90,4.5
0.13516905605744312,0.9309073302344606,100,5.0
0.14929225636590654,0.9331199514258794,110,5.5
0.1622424483235287,0.9350560124261116,120,6.0
0.1740075087294823,0.9367665929558595,130,6.5
0.1846101635557997,0.9382903757375944,140,7.0
0.1940946570000479,0.9396575896633271,150,7.5
0.2025177823941515,0.9408923839177314,160,8.0
0.2099428971181488,0.9420143492832772,170,8.5
0.2164359800880525,0.9430395522111937,180,9.0
0.22206308054110135,0.9439812746118988,190,9.5
0.22688870841280365,0.9448505651916084,200,10.0
0.23097485766247514,0.9456566630614072,210,10.5
0.2343804520307616,0.9464073303221896,220,11.0
0.23716107036719866,0.9471091170864256,230,11.5
0.23936885494154267,0.9477675747872187,240,12.0
0.24105253761928863,0.9483874290313857,250,12.5
0.2422575400982388,0.9489727203262844,260,13.0
0.24302611881529615,0.949526919040234,270,13.5
0.2433975348715984,0.9500530195623673,280,14.0
0.24340823590765284,0.9505536175989924,290,14.5
0.2430920413145897,0.9510309737593998,300,15.0
0.2424803251843682,0.9514870659723342,310,15.5
0.24160219344581266,0.9519236327895477,320,16.0
0.24048465301765537,0.9523422092446637,330,16.5
0.23915277174523458,0.9527441566227464,340,17.0
0.23762982851666173,0.9531306872428894,350,17.5
0.23593745337377733,0.953502885150953,360,18.0
0.23409575770883748,0.9538617234530049,370,18.5
0.2321234548145817,0.9542080788847315,380,19.0
0.23003797116400904,0.9545427441021714,390,19.5
0.22785554885815096,0.9548664380898033,400,20.0
0.225591339710146,0.9551798150094409,410,20.5
0.22325949144231824,0.9554834717544007,420,21.0
0.22087322646696644,0.9557779544254511,430,21.5
0.21844491370630761,0.9560637639060603,440,22.0
0.21598613388613147,0.9563413606827319,450,22.5
0.21350773871384504,0.9566111690303918,460,23.0
0.21101990432663487,0.9568735806617514,470,23.5
0.2085321793708603,0.9571289579224063,480,24.0
0.20605352805058505,0.95737763659943,490,24.5
0.2035923684621487,0.9576199283997637,500,25.0
0.20115660651348533,0.9578561231453321,510,25.5
0.1987536657119589,0.9580864907241257,520,26.0
0.19639051309312153,0.9583112828301706,530,26.5
0.19407368155517973,0.9585307345201124,540,27.0
0.1918092888601433,0.9587450656098406,550,27.5
0.18960305356252527,0.9589544819310364,560,28.0
0.18746030812982292,0.9591591764645764,570,28.5
0.18538600952543563,0.9593593303652774,580,29.0
0.18338474753358056,0.9595551138904213,590,29.5
0.18146075111639914,0.9597466872427856,600,30.0
0.17961789310489013,0.959934201337471,610,30.5
0.17785969353647366,0.9601177985005991,620,31.0
0.17618932196171028,0.960297613106929,630,31.5
0.1746095990497089,0.9604737721625729,640,32.0
0.17312299782479182,0.9606463958382396,650,32.5
0.17173164486485976,0.9608155979578034,660,33.0
0.17043732178358326,0.960981486446446,670,33.5
0.16924146730322503,0.9611441637421465,680,34.0
0.168145180202116,0.9613037271738814,690,34.5
0.16714922339045762,0.9614602693095476,700,35.0
0.16625402933055294,0.961613878276299,710,35.5
0.16545970697356302,0.9617646380557219,720,36.0
0.16476605033564834,0.9619126287560325,730,36.5
0.1641725487834775,0.9620579268632641,740,37.0
0.16367839904443887,0.9622006054732248,750,37.5
0.16328251890250894,0.9623407345058432,760,38.0
0.16298356248870727,0.9624783809033628,770,38.5
0.162779937027394,0.9626136088137192,780,39.0
0.1626698208580976,0.9627464797603107,790,39.5
0.16265118251854427,0.9628770527992676,800,40.0
0.16272180064909703,0.9630053846652269,810,40.5
0.16287928446246946,0.9631315299065326,820,41.0
0.16312109451541285,0.9632555410107058,830,41.5
0.1634445635207321,0.9633774685209489,840,42.0
0.16384691694769585,0.9634973611443965,850,42.5
0.16432529317558245,0.9636152658527511,860,43.0
0.16487676298747408,0.963731227975902,870,43.5
0.1654983482180377,0.9638452912890688,880,44.0
0.16618703939847948,0.9639574980939682,890,44.5
0.16693981227275098,0.9640678892944641,900,45.0
0.16775364309013244,0.9641765044671187,910,45.5
0.16862552260945268,0.9642833819270384,920,46.0
0.16955246877851504,0.9643885587893636,930,46.5
0.1705315380781131,0.9644920710267336,940,47.0
0.1715598355428702,0.9645939535230299,950,47.5
0.1726345234907445,0.9646942401236708,960,48.0
0.17375282900930827,0.9647929636827184,970,48.5
0.17491205025988488,0.9648901561070291,980,49.0
0.17610956167045533,0.9649858483976677,990,49.5
0.1773428180951793,0.9650800706887832,1000,50.0
0.17860935802271335,0.965172852284133,1010,50.5
0.17990680591756933,0.9652642216914222,1020,51.0
0.18123287377889577,0.9653542066546201,1030,51.5
0.1825853619996105,0.9654428341843916,1040,52.0
0.1839621596060921,0.9655301305867843,1050,52.5
0.18536124395493528,0.9656161214902899,1060,53.0
0.18678067995887107,0.9657008318713954,1070,53.5
0.18821861890905733,0.9657842860787298,1080,54.0
0.18967329695577526,0.9658665078559003,1090,54.5
