model,feedback,stability_mean,stability_std,residue_mean
agent,0.0,0.3283929683467994,0.039170069707277703,0.36787944117145266
agent,0.5,0.46220864300196446,0.042239114243690076,0.3532178317977189
pde,0.0,0.3359375,0.0,
pde,0.2,0.3359375,0.0,
