step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00733538,0.00143185,28544,0.00366568,0.0408778,0.00609026,0.435547
100,3.40399,0.00629124,58584,0.096332,0.508703,0.00701221,0.893921
200,10.3439,0.00433268,59732,0.122763,0.634547,0.00783091,0.911438
300,18.05,0.00488499,60078,0.144616,0.672248,0.00841526,0.916718
400,24.9623,0.00542849,60263,0.161032,0.66361,0.00878108,0.91954
500,30.3136,0.00359839,60178,0.173333,0.687847,0.008824,0.918243
600,34.1128,0.00410397,60244,0.182278,0.66708,0.00920368,0.91925
700,37.121,0.00807303,60246,0.188687,0.69704,0.00958189,0.919281
800,39.3357,0.00978286,60289,0.193698,0.703952,0.00958531,0.919937
900,41.3127,0.0130429,60275,0.197497,0.682879,0.00943309,0.919724
1000,43.4347,0.0247865,60471,0.201863,0.683407,0.00931447,0.922714
1100,45.8054,0.0203918,60570,0.206311,0.687317,0.00907061,0.924225
1200,47.9038,0.00742334,60639,0.209908,0.692401,0.00893817,0.925278
1300,49.9445,0.00910333,60778,0.212939,0.694918,0.00896793,0.927399
1400,52.0679,0.00939487,60859,0.215443,0.692697,0.00900338,0.928635
1500,54.3294,0.00528383,60948,0.218518,0.690885,0.00909682,0.929993
1600,55.807,0.00764,61046,0.222017,0.703968,0.0091789,0.931488
1700,57.9648,0.00991952,61110,0.224194,0.693641,0.0091714,0.932465
1800,60.3652,0.0142242,61261,0.22697,0.665544,0.00923006,0.934769
1900,63.4501,0.0129636,61362,0.229839,0.713913,0.00928433,0.93631
1999,65.463,0.0160164,61447,0.23144,0.701975,0.00928829,0.937607
